order	sequence	thai	phonetic	description	short-description	set	level
401	5	ฉันก็เหมือนกัน	chǎn gɔ̂ɔ mʉ̌an-gan	Me too. / So do I. / I do, too. 	Me too. / So do I. / I do, too		
402	6	(คุณ)ลืมอะไรไปหรือเปล่า	kun	lʉʉm à-rai bpai rʉ̌ʉ-bplàao Have you forgotten something, (or what)? / Did you forget something?  	lʉʉm à-rai bpai rʉ̌ʉ-bplàao Ha		
403	7	ที่ไหนดี(ล่ะ) tîi-nǎi dii	lâ	Where's good? / Where do you want to (go)?  	Where's good? / Where do you w		
404	8	ไม่จริงใช่ไหม	mâi-jing châi-mǎi	It's not true, right? / That's not true, is it?  	It's not true, right? / That's		
405	9	ไปรู้มาจากไหน	bpai rúu maa-jàak nǎi	Where did you find out? / Where did you learn (that)?  Note: This expression is a bit strong.  	Where did you find out? / Wher		
406	10	จะกลับแล้วหรือ(ครับ) jà glàp lɛ́ɛo rʉ̌ʉ	kráp	Are you leaving? / Are you going back (now)?  	Are you leaving? / Are you goi		
407	11	จะเอาไปทำไม	jà ao bpai tam-mai	What are you gonna do with it? / What do you need it for?  	What are you gonna do with it?		
408	12	ทำไมทำกับฉันอย่างนี้	tam-mai tam gàp chǎn yàang-níi	Why are you doing this to me? / Why are you treating me like this? 	Why are you doing this to me? 		
409	13	ไม่ให้เกียรติ(ผู้หญิง) mâi-hâi gìat	pûu-yǐng	He doesn't respect (women).  Note: The ร(r) in เกียรติ(gìat) is silent.  	He doesn't respect (women).  N		
410	14	สุดทนแล้ว	sùt ton lɛ́ɛo	I can't stand it any more! / This is unbearable!  	I can't stand it any more! / T		
411	15	ไม่น่าเลย INFORMAL	mâi-nâa ləəi	It/This shouldn't have happened! / (He) shouldn't have done that! (meaning is  close to 'Unbelievable!') / Doggone it!  	It/This shouldn't have happene		
412	16	เป็นเรื่องของครอบครัว	bpen rʉ̂ang kɔ̌ɔng krɔ̂ɔp-krua	It's a family matter.  	It's a family matter.  		
413	17	เข้าเค้า(นะ) IDIOM kâo-káo	ná	That makes sense. / That sounds reasonable. (=it matches the facts)  	That makes sense. / That sound		
414	18	แปลกจัง	bplɛ̀ɛk-jang	That's odd. / That's strange.  	That's odd. / That's strange. 		
415	19	พิสูจน์แล้ว	pí-sùut lɛ́ɛo	(He/They) proved it. / They've already proven (it).  	(He/They) proved it. / They've		
416	20	เท่ดี(นะ) INFORMAL têe-dii(ná) Cool! / Awesome! / Nice!  					
417	1	ห้ามใจไม่ได้	hâam-jai mâi-dâi	(He) couldn't resist. (He) couldn't help himself.Note: This is often used for temptations.  	(He) couldn't resist. (He) cou	Super Useful Short Expressions, Part 22  	high-intermediate level
418	2	รวบรวมสติอน่อย/ไว้	rûap-ruam sà-dtì nɔ̀ì/wái	Pull yourself together! / Compose yourself! / Try to gather your senses! /  Concentrate!  	Pull yourself together! / Comp		
419	3	ชอบยุ่งเรื่องชาวบ้าน	chɔ̂ɔp yûng rʉ̂ang chaao-bâan	He likes to mess in other people's business!  	He likes to mess in other peop		
420	4	ต้องเป็นฝีมือ	Dave	dtɔ̂ng bpen fǐi-mʉʉ (Dave) It had to be (Dave) (who did it)! / It must have been (Dave)!  Note: This is often used for mischief or sneaky actions. 	dtɔ̂ng bpen fǐi-mʉʉ (Dave) It 		
421	5	เราผ่านอะไรมาเยอะ	rao pàan à-rai maa yə́	We've been through a lot.  	We've been through a lot.  		
422	6	ยากเหลือเกินที่จะ... SEMI-LITERARY/POETIC	yâak lʉ̌a-gəən tîi jà...	It's so difficult to...  	It's so difficult to...  		
423	7	ตาต่อตาฟันต่อฟัน	dtaa dtɔ̀ɔ dtaa fan dtɔ̀ɔ fan	an eye for any eye, a tooth for a tooth / tit for tat  	an eye for any eye, a tooth fo		
424	8	คุณคนเดียวเท่านั้นที่...	kun kon-diao tâo-nán tîi...	You're the only one who...  	You're the only one who...  		
425	9	รัก(เขา)สุดหัวใจ SEMI-LITERARY/POETIC rák	kǎo	sùt hǔa jai I love her with all my heart.  	sùt hǔa jai I love her with al		
426	10	คุณพิสูจน์ตัวเองแล้ว(ว่า)... kun pí-sùut dtua-eeng lɛ́ɛo	wâa	... You've proven yourself (that)...  	... You've proven yourself (th		
427	11	แก้ไขไม่ได้แล้ว	gɛ̂ɛ-kǎi mâi-dâi lɛ́ɛo	It's irreparable. / It can't be fixed. 	It's irreparable. / It can't b		
428	12	ยิ่งไปกว่านั้น... SEMI-FORMAL	yîng bpai gwàa nán...	Moreover... / In addition... / Besides... / More than that... / What's more... /On top of that...  	Moreover... / In addition... /		
429	13	(มัน)ไม่ใช่อย่างที่คุณคิด(นะ) man mâi-châi yàang-tîi kun kít	ná	It's not like you think. / It's not what you think. / It's not what it looks like.  	It's not like you think. / It'		
430	14	ทุกคนมีสิทธิ์ที่จะเลือก	túk kon mii-sìt tîi jà lʉ̂ak	Everyone has the right to choose.  	Everyone has the right to choo		
431	15	ถ้าขาดเหลืออะไรบอกฉันได้เลยนะคะ	tâa kàat-lʉ̌a à-rai bɔ̀ɔk chǎn dâi leei ná-ká	If you need anything else, just let me know.  	If you need anything else, jus		
432	16	ขอแสดงความเสียใจ(ด้วย)(นะ) FORMAL kɔ̌ɔ sà-dɛɛng kwaam-sǐa-jai	dûai	(ná) My (deepest) condolences. / I'm so sorry to hear about your loss.  	(ná) My (deepest) condolences.		
433	17	มากกว่าสิ่งใด LITERARY	mâak-gwàa sìng-dai	More than anything. 	More than anything. 		
434	18	เราเคยรู้จักกันมาก่อนหรือเปล่า	rao kəəi rúu-jàk-gan maa-gɔ̀ɔn rʉ̌ʉ bplàao	Have we met before?  	Have we met before?  		
435	19	คงไม่(ครับ/ค่ะ) kong mâi	kráp/kà	I don't think so. / Probably not.  	I don't think so. / Probably n		
436	20	ว่ากันว่า...	wâa-gan-wâa...	They say (that)... / It's said that...  	They say (that)... / It's said		
437	1	คุณพูดอะไร	kun pûut à-rai	What are you talking about? / What are you saying? 	What are you talking about? / 	Super Useful Short Expressions, Part 23  	low-intermediate level
438	2	จะเอาอะไร INFORMAL	jà ao à-rai	What do you want?  	What do you want?  		
439	3	รู้ไหมทำไม(...) rúu mǎi tam-mai(...) Do you know why(...)?  					
440	4	กินข้าวรึยัง	gin-kâao rʉ́-yang	Have you eaten yet?  	Have you eaten yet?  		
441	5	ทานข้าวรึยัง SEMI-FORMAL	taan-kâao rʉ́-yang	Have you eaten yet?  	Have you eaten yet?  		
442	6	คุณรู้เรื่องนี้ได้ยังไง	kun rúu-rʉ̂ang níi dâi yang-ngai	How did you find out? / How do you know about it/that? 	How did you find out? / How do		
443	7	แล้วฉันล่ะ	lɛ́ɛo chǎn lâ	What about me?!  Note: This shows surprise and has the effect of "Hey/Well/Wait..."  	What about me?!  Note: This sh		
444	8	เป็นยังไงบ้างลูก	bpen-yang-ngai bâang lûuk	How are you honey/sweetie?  Note: This is said by a mother or father to their child.  	How are you honey/sweetie?  No		
445	9	มันทำได้ยาก	man tam-dâi-yâak	It's hard to do.  	It's hard to do.  		
446	10	อาจเป็น... ก็ได้	aat bpen... gɔ̂ɔ-dâi	It might/could be...  	It might/could be...  		
447	11	ไม่มีเงินเลย	mâi mii ngən ləəi	I don't have any money (at all).  	I don't have any money (at all		
448	12	อยากจะอ้วก	yàak jà ûak	I wanna throw up. / I'm gonna throw up. 	I wanna throw up. / I'm gonna 		
449	13	ขอบใจที่มา INFORMAL	kɔ̀ɔp-jai tîi maa	Thanks for coming. Note: Used casually to a person younger than you or to a child.  	Thanks for coming. Note: Used 		
450	14	ทำตัวตามสบายนะ	tam-dtua dtaam-sà-baai ná	Make yourself at home. / Make yourself comfortable.  	Make yourself at home. / Make 		
451	15	ฉันจะพาคุณไปเที่ยว	chǎn jà paa kun bpai-tîao	I'll take you around. / I'll show you around (=give you a tour). / I'll take you out.  	I'll take you around. / I'll s		
452	16	เธอคือคนที่ใช่	təə kʉʉ kon-tîi-châi	She's the one (for me). 	She's the one (for me). 		
453	17	(ฉัน)ออกเวรแล้ว	chǎn	ɔ̀ɔk-ween lɛ́ɛo My shift's over. / I'm off (now).  	ɔ̀ɔk-ween lɛ́ɛo My shift's ove		
454	18	เขารอผมอยู่	kǎo rɔɔ pǒm yùu	He's waiting for me. / She's waiting for me.  	He's waiting for me. / She's w		
455	19	หมดเวลา(...)แล้ว mòt-wee-laa(...)lɛ́ɛo Time's up. /	X	time's up.	time's up.		
456	20	ฉันแทบไม่รู้จักเขา	chǎn tɛ̂ɛp mâi-rúu-jàk kǎo	I barely/hardly know him.  	I barely/hardly know him.  		
457	1	เอาเข้าจริง... IDIOM	ao-kâo-jing...	When it comes down to it... / In actual practice.../ When you really do/try it.../  Really... / Actually... 	When it comes down to it... / 	Super Useful Short Expressions, Part 24  	high-intermediate level
458	2	อย่ามาแตะต้องตัวฉัน	yàa maa dtɛ̀-dtɔ̂ng dtua chǎn	Don't touch me! / Keep your hands off me! / Don't Fxxxing touch me!  Note: this is quite strong and derogatory.  	Don't touch me! / Keep your ha		
459	3	(เรา)มีอะไรหลายๆอย่างเหมือนกัน	rao	mii à-rai lǎai-lǎai yàang mʉ̌an-gan) (We) have a lot in common.  	mii à-rai lǎai-lǎai yàang mʉ̌a		
460	4	นี่อาจจะเป็นครั้งสุดท้าย(ที่)... nîi àat-jà bpen kráng-sùt-táai	tîi	... This might be the last time (that)...  	... This might be the last tim		
461	5	อย่างน้อยก็...	yàang-nɔ́ɔi gɔ̂ɔ...	(Well,) at least...  	(Well,) at least...  		
462	6	ต้องไปแล้วจริงๆ	dtɔ̂ng bpai lɛ́ɛo jing-jing	I really got to go. / I really need to leave.  	I really got to go. / I really		
463	7	อยู่ต่อไม่ได้เหรอ(คะ) yùu dtɔ̀ɔ mâi-dâi rə̌ə	ká	Can't you stay longer?  	Can't you stay longer?  		
464	8	ผมถูกกำหนดมา...	pǒm tùuk gam-nòt maa...	I was destined to...  	I was destined to...  		
465	9	ไม่ดีเท่าที่ควร	mâi-dii tâo-tîi kuan	Not as good as it should be. 	Not as good as it should be. 		
466	10	เรารู้จักกันตั้งแต่สมัยเรียน	rao rúu-jàk-gan dtâng-dtɛ̀ɛ sà-mǎi rian	We've known each other since high school/college (etc.)  	We've known each other since h		
467	11	ขอแนะนำว่า...	kɔ̌ɔ nɛ́-nam wâa...	I suggest (that)... / I recommend (that)... 	I suggest (that)... / I recomm		
468	12	ผมก็รู้สึกเช่นนั้น FORMAL	pǒm gɔ̂ɔ rúu-sʉ̀k chên-nán	I feel the same way. / The feeling is mutual.  	I feel the same way. / The fee		
469	13	(มัน)มีผลต่อ...	man	mii-pǒn-dtɔ̀ɔ... (It) affects/has an effect on... 	mii-pǒn-dtɔ̀ɔ... (It) affects/		
470	14	(น่ารัก)อะไรอย่างนี้	nâa-rák	à-rai yàang-níi How (cute) you are! / What a (cute)...!  	à-rai yàang-níi How (cute) you		
471	15	พูดไม่ถูก	pûut mâi-tùuk	(I) don't know what to say. (at a loss for words) OR (I) didn't say it correctly.  	(I) don't know what to say. (a		
472	16	คิดไม่ออก	kít mâi-ɔ̀ɔk	(I) have no idea. / (I) can't think of it (right now).  	(I) have no idea. / (I) can't 		
473	17	ป้องกันไม่ให้	เกิดขึ้นอีก	bpɔ̂ng-gan mâi-hâi (gə̀ət-kʉ̂n ìik) Stop/prevent (it from happening again).  	bpɔ̂ng-gan mâi-hâi (gə̀ət-kʉ̂n		
474	18	ตลกสิ้นดี	dtà-lòk sîn-dii	That's ridiculous! / That's laughable! / What a joke! Note: this is a strong expression.  	That's ridiculous! / That's la		
475	19	(ผม)ตาสว่าง LITERARY	pǒm	dtaa-sà-wàang My eyes were opened. / I saw the light.  	dtaa-sà-wàang My eyes were ope		
476	20	นี่คือสาเหตุที่... SEMI-LITERARY	nîi kʉʉ sǎa-hèet tîi...	That's (the reason) why...  	That's (the reason) why...  		
477	1	คุณไม่เคยรักผมเลย	kun mâi-kəəi rák pǒm ləəi	You never loved me. / You were never in love with me.  	You never loved me. / You were	Super Useful Short Expressions, Part 25  	low-intermediate level
478	2	ฉันผิดไปแล้ว	chǎn pìt bpai lɛ́ɛo	I was wrong. / I make a mistake. 	I was wrong. / I make a mistak		
479	3	เข้าไปเลย	kâo bpai ləəi	Come (on) in. / Get in.  	Come (on) in. / Get in.  		
480	4	ไม่รบกวนแล้ว(ค่ะ/ครับ) mâi róp-guan lɛ́ɛo	kà/kráp	I won't bother you anymore. / I'll let you get back to... (...what you were doing).  	I won't bother you anymore. / 		
481	5	(ฉัน)เชื่อเรื่อง...	chǎn	chʉ̂a rʉ̂ang... (I) believe in...  	chʉ̂a rʉ̂ang... (I) believe in		
482	6	(ฉัน)ไม่เชื่อเรื่อง...	chǎn	mâi chʉ̂a rʉ̂ang... (I) don't believe in...  	mâi chʉ̂a rʉ̂ang... (I) don't 		
483	7	ขอบคุณอีกครั้ง(ครับ/ค่ะ) kɔ̀ɔp-kun ìik-kráng	kráp/kà	Thanks again. /Thank you again.  	Thanks again. /Thank you again		
484	8	ไม่มีใครรู้	mâi-mii krai rúu	No one knows. / No one knew.  	No one knows. / No one knew.  		
485	9	(มัน)เป็นเรื่องเดียวกัน	man	bpen rʉ̂ang diao-gan It's the same thing (matter). / It's the same story.  	bpen rʉ̂ang diao-gan It's the 		
486	10	แค่แวะมาทักทาย	kɛ̂ɛ wɛ́ maa ták-taai	I just dropped/stopped by to say hello.  	I just dropped/stopped by to s		
487	11	ฉันจะพาไปเอง	chǎn jà paa bpai eeng	I'll take you (there) (myself).  	I'll take you (there) (myself)		
488	12	ต้องต่อคิว	dtɔ̂ng dtɔ̀ɔ kiu	You have to get/stand in line.  	You have to get/stand in line.		
489	13	ฉันเพิ่งกลับมาจาก(ญี่ปุ่น) chǎn pə̂ng glàp maa-jàak	yîi-bpùn	I just got back from (Japan).  	I just got back from (Japan). 		
490	14	กลับกันได้แล้ว	glàp-gan dâi lɛ́ɛo	We should get going. / Let's go.  	We should get going. / Let's g		
491	15	ผมก็เลือกไปแล้ว	pǒm gɔ̂ɔ lʉ̂ak bpai lɛ́ɛo	I've made my decision. / I've already chosen.  	I've made my decision. / I've 		
492	16	นั่น(ก็)เพราะว่า... nân	gɔ̂ɔ	prɔ́-wâa... That's/It's because...  	prɔ́-wâa... That's/It's becaus		
493	17	ผมอดไม่ได้ที่จะ...	pǒm òt mâi-dâi tîi jà...	I can't help but...  	I can't help but...  		
494	18	สมมุติว่า...	sǒm-mút wâa...	Suppose... / Let's say... 	Suppose... / Let's say... 		
495	19	ถ้าสมมุติว่า...	tâa sǒm-mút wâa...	Suppose if... / Let's say if... 	Suppose if... / Let's say if..		
496	20	คุณ(กำลัง)มองหาใคร kun	gam-lang	mɔɔng-hǎa krai Who are you looking for?  	mɔɔng-hǎa krai Who are you loo		
497	1	ผมเคยแอบชอบเธอ	pǒm kəəi ɛ̀ɛp-chɔ̂ɔp təə	I used to have a crush on her.  Note: แอบปิ๊ง (ɛ̀ɛp-bpíng) is slang for 'have a crush on someone'.  	I used to have a crush on her.	Super Useful Short Expressions, Part 26  	low-intermediate level
498	2	(หลง)รัก(เธอ)ตั้งแต่แรกเห็น	lǒng	rák (təə) dtâng-dtɛ̀ɛ rɛ̂ɛk hěn (I) fell in love with (her) at first sight/the first time I saw (her).  	rák (təə) dtâng-dtɛ̀ɛ rɛ̂ɛk hě		
499	3	เขานอกใจฉัน	kǎo nɔ̂ɔk-jai chǎn	He cheated on me.  	He cheated on me.  		
500	4	ต้องรู้ก่อนว่า...	dtɔ̂ng rúu gɔ̀ɔn wâa...	(I) (first) need to know... / (I) have to know... 	(I) (first) need to know... / 		
501	5	ฉัน(ก็)รู้สึกเหมือนกัน chǎn	gɔ̂ɔ	rúu-sʉ̀k mʉ̌an-gan I feel the same way.  	rúu-sʉ̀k mʉ̌an-gan I feel the 		
502	6	ไม่รู้เหมือนกัน	mâi-rúu mʉ̌an-gan	I don't know (either).  	I don't know (either).  		
503	7	ไม่ทราบเหมือนกันค่ะ FORMAL	mâi-sâap mʉ̌an-gan kà	I don't know (either).  	I don't know (either).  		
504	8	ไม่เก่งเท่าไหร่	mâi gèng tâo-rài	I'm not so good at... / I'm not very good. (used for skills, sports, languages, etc.)  	I'm not so good at... / I'm no		
505	9	ประมาณว่า... INFORMAL	bprà-maan wâa...	It's like... / Like... (appear or seem like... / be like...)  	It's like... / Like... (appear		
506	10	ก็คงเป็น...	gɔ̂ɔ kong bpen...	(Well), it's probably/gotta be/must be...  	(Well), it's probably/gotta be		
507	11	มีคำถามเกี่ยวกับ...	mii kam-tǎam gìao-gàp...	(I) have a question about...  	(I) have a question about...  		
508	12	ใกล้จะจบแล้ว	glâi jà jòp lɛ́ɛo	(We) are almost finished. / It's almost over. / I'm graduating soon.  	(We) are almost finished. / It		
509	13	เคล็ดลับคืออะไร	klét-láp kʉʉ à-rai	What's the trick/secret? (used for a special technique of doing something)  	What's the trick/secret? (used		
510	14	เคล็ดลับ(ก็)คือ... klét-láp	gɔ̂ɔ	kʉʉ... The trick/secret is... 	kʉʉ... The trick/secret is... 		
511	15	ถ้ามีเวลาว่าง...	tâa mii wee-laa-wâang...	If (you) have free time...; If (you) are free/have spare time...  	If (you) have free time...; If		
512	16	ไม่ค่อยมีเวลา	mâi-kɔ̂i mii wee-laa	(I) don't have much time. / (I) didn't have much time. / (I)'m pressed for time. 	(I) don't have much time. / (I		
513	17	(มัน)ไม่ใช่สิ่งสำคัญ	man	mâi-châi sìng sǎm-kan It's not important. / It doesn't matter. / It's no biggie  	mâi-châi sìng sǎm-kan It's not		
514	18	...ไม่สมบูรณ์แบบ	...mâi sǒm-buun-bɛ̀ɛp	...isn't perfect. / ...is imperfect.  			
515	19	(สวดมนต์)ก่อนนอนทุกคืน	sùat-mon	gɔ̀ɔn nɔɔn túk-kʉʉn (He prays) every night before going to bed. 	gɔ̀ɔn nɔɔn túk-kʉʉn (He prays)		
516	20	เขาได้รับรางวัลออสการ์	kǎo dâi-ráp raang-wan-ɔ́ɔt-sà-gâa	He won an Oscar.  	He won an Oscar.  		
517	1	ฉันรักคุณ	chǎn rák kun	I love you. 	I love you. 	Super Useful Short Expressions, Part 27  	high-beginner level
518	2	ผมก็รักคุณ	pǒm gɔ̂ɔ rák kun	I love you too.  Note: ก็ (gɔ̂ɔ) here means also or too.  	I love you too.  Note: ก็ (gɔ̂		
519	3	ฉันรักเขา	chǎn rák kǎo	I love him. / I'm in love with him.  	I love him. / I'm in love with		
520	4	ฉันกำลังมีความรัก	chǎn gam-lang mii kwaam-rák	I'm in love.  	I'm in love.  		
521	5	ผมตกหลุมรักเธอ	pǒm dtòk-lǔm-rák təə	I fell in love with her.  	I fell in love with her.  		
522	6	ไม่มีแฟน	mâi mii fɛɛn	(I) don't have a boyfriend/girlfriend. 	(I) don't have a boyfriend/gir		
523	7	ไม่มีเจ้าของ	mâi mii jâo-kɔ̌ɔng	(He)'s not taken.  	(He)'s not taken.  		
524	8	ฉันยังไม่แต่งงาน	chǎn yang mâi dtɛ̀ng-ngaan	I'm not married (yet).  	I'm not married (yet).  		
525	9	ผมหย่าแล้ว	pǒm yàa lɛ́ɛo	I'm divorced.  	I'm divorced.  		
526	10	เขาแต่งงานแล้ว	kǎo dtɛ̀ng-ngaan lɛ́ɛo	He's married (already).  	He's married (already).  		
527	11	แต่งงานกับผมนะ INFORMAL	dtɛ̀ng-ngaan gàp pǒm ná	Marry me. / Will you marry me?  	Marry me. / Will you marry me?		
528	12	เราจะแต่งงานกัน	rao jà dtɛ̀ng-ngaan gan	We're getting married.  	We're getting married.  		
529	13	ฉันเลิกกับเขาแล้ว	chǎn lə̂ək gàp kǎo lɛ́ɛo	I broke up with him.  	I broke up with him.  		
530	14	เราเลิกกัน(แล้ว) rao lə̂ək gan	lɛ́ɛo	We broke up.  	We broke up.  		
531	15	เขาทิ้งฉัน	kǎo tíng chǎn	He left me. / He dumped me.  	He left me. / He dumped me.  		
532	16	มันเป็นแค่ความฝัน	man bpen kɛ̂ɛ kwaam-fǎn	It was only/just a dream.  	It was only/just a dream.  		
533	17	มันเป็นฝันร้าย	man bpen fǎn-ráai	It was a nightmare.  	It was a nightmare.  		
534	18	ทีละเล็ก(ทีละน้อย) tii-lá-lék	tii-lá-nɔ́ɔi	Little by little 	Little by little 		
535	19	ไม่ยากเลย	mâi-yâak ləəi	It's not hard at all. / That wasn't (so) hard. 	It's not hard at all. / That w		
536	20	ไม่เลวนะ	mâi-leeo ná	Not bad. / Not too bad.  	Not bad. / Not too bad.  		
537	1	คุณเคย...	บ้าง	ไหม kun kəəi... (bâang) mǎi Have you ever... ?  	ไหม kun kəəi... (bâang) mǎi Ha	Super Useful Short Expressions, Part 28  	low-intermediate level
538	2	มีคนเคยบอกว่า...	mii kon kəəi bɔ̀ɔk wâa...	Someone once told me...  	Someone once told me...  		
539	3	เคยทำงานเป็น(แคชเชียร์) kəəi tam-ngaan bpen	kɛ́t-chia	I used to be a (cashier). / I used to work as a (cashier).  	I used to be a (cashier). / I 		
540	4	ในชีวิตประจำวัน...	nai chii-wít bprà-jam-wan...	In everyday life... / In daily life...  	In everyday life... / In daily		
541	5	...ในนาทีสุดท้าย	nai naa-tii sùt-táai	...at the last minute/moment.  			
542	6	(มัน)ไม่ซับซ้อน	man	mâi sáp-sɔ́ɔn It's simple. / It's not complicated. / It's straightforward. 	mâi sáp-sɔ́ɔn It's simple. / I		
543	7	เป็นเรื่องธรรมดา	bpen rʉ̂ang tam-má-daa	It's common. / It's normal. / It's natural.  	It's common. / It's normal. / 		
544	8	ไม่ธรรมดา	mâi tam-má-daa	(It's) uncommon/unusual/peculiar/strange.  	(It's) uncommon/unusual/peculi		
545	9	ไม่ได้มีแค่(ผม) mâi-dâi mii kɛ̂ɛ	pǒm	It's not only (me).  	It's not only (me).  		
546	10	ไม่มีอะไรมาก	mâi mii à-rai mâak	Nothing much. / It's nothing (much).  	Nothing much. / It's nothing (		
547	11	ดีใจด้วย INFORMAL	dii-jai dûai	Congrats!  	Congrats!  		
548	12	ลองอีกครั้ง(สิ) lɔɔng ìik-kráng	sì	Try (it) again. 	Try (it) again. 		
549	13	ฉันภูมิใจในตัว(เขา)มาก chǎn puum-jai nai dtua	kǎo	mâak I'm so proud of (him)!  	mâak I'm so proud of (him)!  		
550	14	ฉันตื่นเต้นแทน(คุณ)(จริงๆ) chǎn dtʉ̀ʉn-dtên tɛɛn	kun	(jing-jing) I'm (so) excited for you! Note: แทน (tɛɛn) means 'in place of' or 'instead of'.  	(jing-jing) I'm (so) excited f		
551	15	ได้เวลาเสียที / ได้เวลา... เสียที	dâi wee-laa sǐa-tii / dâi wee-laa... sǐa-tii	About time! / It's about time (you)... !  Note: เสียที (sǐa-tii) can be replaced with ซะที (sá-tii) to make it more casual. 	About time! / It's about time 		
552	16	ไม่ต้องพูดถึง	...	mâi-dtɔ̂ng pûut-tʉ̌ng (...)  Don't mention it. / No need to talk about that. / No need to talk about... 	mâi-dtɔ̂ng pûut-tʉ̌ng (...)  D		
553	17	เขาเสียชีวิตด้วย(โรคมะเร็ง) FORMAL/LITERARY kǎo sǐa-chii-wít dûai	rôok má-reng	He died of (cancer). / He passed away from (cancer).  	He died of (cancer). / He pass		
554	18	มันดึงดูดความสนใจ	man dʉng-dùut kwaam-sǒn-jai	It grabs your attention/interest.  Note: ดึงดูด (dʉng-dùut) means attract, draw in, or allure.  	It grabs your attention/intere		
555	19	เต็มไปด้วย...	dtem-bpai-dûai...	filled with... / full of... / loaded with... 	filled with... / full of... / 		
556	20	อย่ายอมแพ้	yàa yɔɔm-pɛ́ɛ	Don't give up.  	Don't give up.  		
557	1	จะพูดว่าอย่างไรดี	jà pûut wâa yàang-rai dii	What should I say? / How should I say it?  	What should I say? / How shoul	Super Useful Short Expressions, Part 29  	low-intermediate level
558	2	ไม่รู้จะพูดว่าอย่างไร	mâi-rúu jà pûut wâa yàang-rai	(I) don't know what to say. / I didn't know what to say.  	(I) don't know what to say. / 		
559	3	ยากที่จะอธิบาย / อธิบายยาก	yâak tîi jà à-tí-baai / à-tí-baai yâak	It's difficult to explain.  	It's difficult to explain.  		
560	4	(...)อะไรอย่างนี้ INFORMAL	à-rai yàang-níi	Something like that. / ...something like that.  	Something like that. / ...some		
561	5	(ก็)ไม่เชิง	gɔ̂ɔ	mâi-chəəng Not really. / Not exactly.  	mâi-chəəng Not really. / Not e		
562	6	ไม่ได้หมายความว่า...	mâi-dâi mǎai-kwaam wâa...	That/it doesn't mean (that)...  	That/it doesn't mean (that)...		
563	7	ไม่ใช่(ค่ะ) mâi-châi	kà	No (it's not.) / Wrong. / Incorrect. / I don't think so.  	No (it's not.) / Wrong. / Inco		
564	8	ผม(ก็)ไม่เข้าใจอยู่ดี pǒm	gɔ̂ɔ	mâi-kâo-jai yùu-dii I still don't get it. / I still don't understand.  Note: อยู่ดี (yùu-dii) means still or anyway. 	mâi-kâo-jai yùu-dii I still do		
565	9	ฟังไม่รู้เรื่อง	fang mâi-rúu-rʉ̂ang	(I) can't understand at all (what s/he's saying).  	(I) can't understand at all (w		
566	10	(มัน)ย่อมาจาก...	man	yɔ̂ɔ-maa-jàak... It's short for... / It stands for... (example: UN=United Nations)  	yɔ̂ɔ-maa-jàak... It's short fo		
567	11	(มัน)ขึ้นอยู่กับ(ว่า)...	man	kʉ̂n-yùu-gàp (wâa)... It depends on...  	kʉ̂n-yùu-gàp (wâa)... It depen		
568	12	ใช้เวลานานเท่าไหร่	chái-wee-laa naan tâo-rai	How long does it take?  	How long does it take?  		
569	13	ต้องใช้เวลา	dtɔ̂ng chái-wee-laa	It takes time.  	It takes time.  		
570	14	ใช้เวลานาน	chái-wee-laa naan	It takes a long time.  	It takes a long time.  		
571	15	จะใช้เวลาอีกประมาณ	5 นาที	jà chái-wee-laa ìik bprà-maan (hâa naa-tii) It'll take about (5) more (minutes).  	jà chái-wee-laa ìik bprà-maan 		
572	16	(มัน)ได้ผลจริงๆ	man	dâi-pǒn jing-jing It really works. / It really worked. / It was really effective.  	dâi-pǒn jing-jing It really wo		
573	17	(...)เปลี่ยนอะไรไม่ได้	...	bplìan à-rai mâi-dâi (You) can't change anything. / (You) can't make a difference. / ...isn't gonna  change anything.  	bplìan à-rai mâi-dâi (You) can		
574	18	ไม่ใช่เรื่องยาก	mâi-châi rʉ̂ang yâak	It's not (that) hard. / It's a piece of cake.  	It's not (that) hard. / It's a		
575	19	ทำอย่างนั้นทำไม	tam yàang-nán tam-mai	Why did you do that? / Why would you do that?  	Why did you do that? / Why wou		
576	20	ฟังดูประหลาด	fang-duu bprà-làat	It sounds strange/weird/peculiar. 	It sounds strange/weird/peculi		
577	1	แน่นอน	nɛ̂ɛ-nɔɔn	Of course. / Sure. / Certainly.  	Of course. / Sure. / Certainly	Super Useful Short Expressions, Part 30  	high-beginner level
578	2	มานี่	maa-nîi	Come here. / Come over here. Note: This is also used casually to mean 'Give it to me'.  	Come here. / Come over here. N		
579	3	เร็วเข้า	reo-kâo	Come on! (hurry) / Hurry!  	Come on! (hurry) / Hurry!  		
580	4	ช้าๆ	cháa-cháa	Slowly! / Slow down. 	Slowly! / Slow down. 		
581	5	คุณชื่ออะไร(ครับ) kun chʉ̂ʉ à-rai	kráp	What's your name?  	What's your name?  		
582	6	ผมเกิด(เมื่อ)วันที่(5)(ธันวาคม) pǒm gə̀ət	mʉ̂a	wan-tîi (hâa) (tan-waa-kom) I was born on (December 5th). Note: With เมื่อ (mʉ̂a) the statement is more formal, and ธันวาคม (tan-waa kom) is just ธันวา (tan-waa) more casually.  	wan-tîi (hâa) (tan-waa-kom) I 		
583	7	มีพี่ชาย(สาม)คน mii pîi-chaai	sǎam	kon  I have (three) older brothers. 	kon  I have (three) older brot		
