description	term
to handle; to take care of; to punish	处置 chǔ zhì
offend	触犯 chù fàn
the stream flows without stopping (idiom); unending flow	川流不息 chuān liú bù xī
to pass through; to cross; to overcome	穿越 chuān yuè
shipping; boats	船舶 chuán bó
to pass on; to convey; to relay; to transmit; transmission	传达 chuán dá
leaflet; flier; pamphlet	传单 chuán dān
to impart; to pass on; to teach	传授 chuán shòu
to breathe deeply; to pant	喘气 chuǎn qì
to string together; to mix up; to conspire; to rove; bunch or cluster; string (computing); classifier for rows or strings	串 chuàn
sheet; CL:條|条[tiáo],件[jiàn],張|张[zhāng],床[chuáng]	床单 chuáng dān
to found; establish; originate	创立 chuàng lì
innovation; to bring forth new ideas; to blaze new trails	创新 chuàng xīn
to begin an undertaking; to start a major task; to initiate; to venture; venture	创业 chuàng yè
to create; to produce; to write; creative work; creation; CL:個|个[gè]	创作 chuàng zuò
to brag; to chat (dialect)	吹牛 chuī niú
to flatter; to laud sb's accomplishments; adulation	吹捧 chuī pěng
hammer; to hammer into shape; weight (e.g. of a steelyard or balance)	锤 chuí
perpendicular; vertical	垂直 chuí zhí
purely	纯粹 chún cuì
pure; clean and honest; to purify	纯洁 chún jié
vocabulary; list of words (e.g. for language teaching purposes)	词汇 cí huì
kindly; benevolent (often of older person)	慈祥 cí xiáng
male and female	雌雄 cí xióng
thorn; splinter; to stab; to pierce; to prick	刺 cì
to serve; to act as a valet	伺候 cì hòu
substandard products; defective; seconds	次品 cì pǐn
sequence; order	次序 cì xù
cluster; collection; collection of books; thicket	丛 cóng
calm; unruffled	从容不迫 cóng róng bù pò
to bring together; to make do in a bad situation; to just get by; to improvise; passable; not too bad	凑合 còu he
crude; coarse; rough	粗鲁 cū lǔ
to flee; to scuttle; to exile or banish; to amend or edit	窜 cuàn
to ravage; to ruin	摧残 cuī cán
weak; frail	脆弱 cuì ruò
to rub or roll between the hands or fingers; to twist	搓 cuō
to consult; to discuss seriously; to negotiate; to confer; negotiations; consultations	磋商 cuō shāng
setback; reverse; check; defeat; frustration; disappointment; to frustrate; to discourage; to set sb back; to blunt; to subdue	挫折 cuò zhé
to put up; to build (scaffolding); to hang (clothes on a pole); to connect; to join; to arrange in pairs; to match; to add; to throw in (resources); to take (boat, train)	搭 dā
to cooperate; partner	搭档 dā dàng
to pair up; to match; to arrange in pairs; to add sth into a group	搭配 dā pèi
to reply (to an accusation)	答辩 dá biàn
to reach (an agreement); to accomplish	达成 dá chéng
to answer; to reply; Reply to: (in email header)	答复 dá fù
to wrap; to pack; to ask for a doggy bag (at a restaurant)	打包 dǎ bāo
to file a lawsuit; to sue; to dispute	打官司 dǎ guān si
to hit; to strike; to attack; to crack down on sth; a setback; a blow; percussion (music)	打击 dǎ jī
to fight; to scuffle; to come to blows; CL:場|场[cháng]	打架 dǎ jià
to size sb up; to take measure of; to suppose; to reckon	打量 dǎ liang
to go hunting	打猎 dǎ liè
to fight a battle; to go to war	打仗 dǎ zhàng
at worst; if worst comes to worst; serious; alarming	大不了 dà bù liǎo
minister (of a monarchy)	大臣 dà chén
everybody; everyone; we all	大伙儿 dà huǒ r5
large building; edifice; mansion; CL:座[zuò]	大厦 dà shà
wantonly; without restraint (of enemy or malefactor); unbridled	大肆 dà sì
in general; more or less; in rough terms; basically; on the whole	大体 dà tǐ
general idea; main idea	大意 dà yì
more or less; roughly; approximately	大致 dà zhì
evil-doer; malefactor; gangster; hoodlum	歹徒 dǎi tú
to arrest; to apprehend; an arrest	逮捕 dài bǔ
price; cost; consideration (in share dealing)	代价 dài jià
to act on behalf of sb in a responsible position; to act as an agent or proxy; surrogate	代理 dài lǐ
to guide; to lead	带领 dài lǐng
to slight; to neglect	怠慢 dài màn
to guarantee; to vouch for	担保 dān bǎo
timid; cowardly	胆怯 dǎn qiè
protein	蛋白质 dàn bái zhì
birthday	诞辰 dàn chén
off season; slow business season; (see also 旺季)	淡季 dàn jì
to be born	诞生 dàn shēng
potable water (water with low salt content); fresh water	淡水 dàn shuǐ
at the scene; on the spot	当场 dāng chǎng
at that time; originally	当初 dāng chū
to sb's face; in sb's presence	当面 dāng miàn
current; today's; modern; present; to be facing (us)	当前 dāng qián
persons involved or implicated; party (to an affair)	当事人 dāng shì rén
top priority job; matter of vital importance	当务之急 dāng wù zhī jí
to take care; to look out	当心 dāng xīn
be elected	当选 dāng xuǎn
party; association; club; society; surname Dang; CL:個|个[gè]	党 dǎng
file; record; archive; Taiwan pr. dǎng àn	档案 dàng àn
grade; class; quality; level	档次 dàng cì
to go bankrupt; to close down	倒闭 dǎo bì
guided missile; cruise missile; missile; CL:枚[méi]	导弹 dǎo dàn
navigation	导航 dǎo háng
to disturb; to look for trouble; to stir up a row; to bother sb intentionally	捣乱 dǎo luàn
to be oriented towards; orientation	导向 dǎo xiàng
islands	岛屿 dǎo yǔ
rice crops	稻谷 dào gǔ
to steal	盗窃 dào qiè
(saying) the gains do not make up for the losses	得不偿失 dé bù cháng shī
able; capable; competent; efficient	得力 dé lì
(of an area) rich in resources; (of a person) gifted or able (idiom)	得天独厚 dé tiān dú hòu
to commit an offense; to violate the law; excuse me! (formal); see also 得罪|得罪[dé zui]	得罪 dé zuì
to tread on; to step on	蹬 dēng
lantern	灯笼 dēng lóng
to land; to come ashore; to make landfall (of typhoon etc); to log in	登陆 dēng lù
to register; to login	登录 dēng lù
degree; rate	等级 děng jí
to open (one's eyes) wide; to stare at; to glare at	瞪 dèng
dam	堤坝 dī bà
hostile; malevolence; antagonism; to view as enemy; to stand against	敌视 dí shì
arrive; reach (a destination)	抵达 dǐ dá
to resist; resistance	抵抗 dǐ kàng
to resit; to boycott; to refuse (to cooperate); to reject; resistance; refusal	抵制 dǐ zhì
condition; situation; plight; extent; room for action	地步 dì bù
real; pure; genuine; typical; well-done; thorough	地道 dì dao
terrain; topography relief	地势 dì shì
to increase by degrees; in increasing order; incremental; progressive	递增 dì zēng
geology	地质 dì zhì
to shake; to jolt; to bump	颠簸 diān bǒ
to turn upside-down; to reverse; back-to-front; confused; deranged; crazy	颠倒 diān dǎo
celebration; ceremony	典礼 diǎn lǐ
model; typical case; archetype; typical; representative	典型 diǎn xíng
to decorate; an ornament; to adorn; only for show	点缀 diǎn zhuì
pad; cushion; mat	垫 diàn
to establish; to fix; to settle	奠定 diàn dìng
remember with concern; worry about	惦记 diàn jì
electric power source	电源 diàn yuán
to hold in the mouth	叼 diāo
to carve; to engrave; carving	雕刻 diāo kè
a statue; a Buddhist image; sculpture; to carve	雕塑 diāo sù
to suspend; to hang up; to hang a person	吊 diào
to transfer; to maneuver (troops etc)	调动 diào dòng
to drop; to fall; to tumble; Taiwan pr. dié	跌 diē
to watch attentively; to fix attention on; to stare; to gaze; to follow; to shadow sb	盯 dīng
to warn repeatedly; to urge; to exhort again and again	叮嘱 dīng zhǔ
regularly; at regular intervals	定期 dìng qī
definition	定义 dìng yì
to lose face	丢人 diū rén
forgetful; scatterbrained	丢三落四 diū sān là sì
host; official host (e.g. venue for games or a conference)	东道主 dōng dào zhǔ
to look in all directions (idiom); to glance around	东张西望 dōng zhāng xī wàng
chairman of the board; chairman	董事长 dǒng shì zhǎng
classifier for houses or buildings; ridgepole (old)	栋 dòng
unrest (social or political); turmoil; upheaval; commotion	动荡 dòng dàng
motor; locomotive; motive; motivation; intention	动机 dòng jī
to freeze (loan, wage, price etc)	冻结 dòng jié
sound of activity or people talking; news of activity	动静 dòng jìng
power; motion; propulsion; force	动力 dòng lì
artery	动脉 dòng mài
go on a journey; leave	动身 dòng shēn
to hit with hands or fists; to start work; to touch	动手 dòng shǒu
development; trend; dynamic state; movement; moving	动态 dòng tài
cave; cavern	洞穴 dòng xué
mobilize; arouse; CL:次[cì],個|个[gè]	动员 dòng yuán
pocket; bag; to wrap up or hold in a bag; to move in a circle; to canvas or solicit; to take responsibility for; to disclose in detail; combat armor (old)	兜 dōu
precipitous	陡峭 dǒu qiào
a struggle; fight; battle	斗争 dòu zhēng
to urge sb to complete a task	督促 dū cù
city; metropolis	都市 dū shì
dictatorship	独裁 dú cái
drugs; narcotics; poison	毒品 dú pǐn
to gamble	赌博 dǔ bó
to block; to stop; blockage	堵塞 dǔ sè
put an end to	杜绝 dù jué
end; extremity; item; port; to hold sth level with both hands; to carry; regular	端 duān
The Dragon Boat Festival (the 5th day of the 5th lunar month)	端午节 duān wǔ jié
upright; regular; proper; correct	端正 duān zhèng
short in time; fleeting; brief	短促 duǎn cù
to conclude; to determine; to come to a judgment	断定 duàn dìng
intermittent; off and on; discontinuous; stop-go; stammering; disjointed; inarticulate	断断续续 duàn duàn xù xù
to sever; to break off	断绝 duàn jué
to pile up; to heap; accumulation	堆积 duī jī
countermeasure for dealing with a situation	对策 duì cè
symmetry; symmetrical	对称 duì chèn
to handle; to deal with; to cope; to get by with	对付 duì fu
to convert; to exchange	兑换 duì huàn
to withstand; to resist; to stand off; antagonism; confrontation	对抗 duì kàng
to oppose; to set sth against; to be antagonistic to; antithetical; relative opposite; opposing; diametrical	对立 duì lì
rhyming couplet; pair of lines of verse written vertically down the sides of a doorway; CL:幅[fú]	对联 duì lián
ranks; troops; CL:個|个[gè]	队伍 duì wu
(of a cheque etc) to cash; to honor a commitment	兑现 duì xiàn
to correspond; a correspondence; corresponding; homologous; matching with sth; counterpart	对应 duì yìng
to contrast; to compare; to place side by side for comparison (as parallel texts); to check	对照 duì zhào
at once; immediately; forthwith	顿时 dùn shí
to tremble; to shiver; uncontrolled shaking of the body	哆嗦 duō suo
diversification; pluralism; to diversify	多元化 duō yuán huà
to morally degenerate; to become depraved; a fall from grace; a fall into sin or depravity	堕落 duò luò
extra; added; additional	额外 é wài
nausea; to feel sick; disgust; nauseating	恶心 ě xin
worsen	恶化 è huà
to check; to contain; to hold back; to keep within limits; to constrain; to restrain	遏制 è zhì
(feeling of) resentment; (longstanding) grudge	恩怨 ēn yuàn
that's all; nothing more	而已 ér yǐ
earring; CL:隻|只[zhī],對|对[duì]	耳环 ěr huán
carbon dioxide CÓ	二氧化碳 èr yǎng huà tàn
to release; to issue; to announce; to distribute; also written 發布|发布[fā bù]	发布 fā bù
to get rich	发财 fā cái
to daydream; lost in thought	发呆 fā dāi
to start; to launch; to unleash; to mobilize; to arouse	发动 fā dòng
to catch fire; to ignite; to detonate; to get angry	发火 fā huǒ
to find; to detect; to discover	发觉 fā jué
to shoot (a projectile); to fire (a rocket); to launch; to emit (a particle); to discharge; emanation; emission	发射 fā shè
to vow; to pledge; to swear	发誓 fā shì
to publish; to issue (stocks, currency etc); to release; to distribute (a film)	发行 fā xíng
inflamed from infection or injury; inflammation	发炎 fā yán
to develop; to make full use of	发扬 fā yáng
to develop; growth; development	发育 fā yù
legal person; corporation; see also 自然人|自然人[zì rán rén]	法人 fǎ rén
to take turns; order in series; time; a kind of; barbarians	番 fān
to turn over; to flip over; to overturn; to translate; to decode	翻 fān
flourishing; bustling	繁华 fán huá
busy; bustling	繁忙 fán máng
traditional Chinese character	繁体字 fán tǐ zì
to breed; to reproduce; to propagate	繁殖 fán zhí
to retort; to refute	反驳 fǎn bó
unusual; abnormal	反常 fǎn cháng
but on the contrary; but expectedly	反倒 fǎn dào
reaction; reactionary	反动 fǎn dòng
to be disgusted with; to dislike; bad reaction; antipathy	反感 fǎn gǎn
to resist; to rebel	反抗 fǎn kàng
to send back information; feedback	反馈 fǎn kuì
reverse side of sth; opposite side of some topic; the other side	反面 fǎn miàn
to reflect; reflection (from a mirror etc); reflex (i.e. automatic reaction of organism)	反射 fǎn shè
to think back over sth; to review; to revisit; to rethink; reflection; reassessment	反思 fǎn sī
to ask (a question) in reply; to answer a question with a question; rhetorical question	反问 fǎn wèn
on the other hand...; conversely...	反之 fǎn zhī
category	范畴 fàn chóu
to be in flood; to overflow (the banks); to inundate; to spread unchecked	泛滥 fàn làn
to sell; to peddle; to traffic	贩卖 fàn mài
direction; points of the compass; bearing; position; azimuth	方位 fāng wèi
dialect	方言 fāng yán
policy; guidelines; CL:個|个[gè]	方针 fāng zhēn
defend; protect (against)	防守 fáng shǒu
disease prevention; protection against epidemic	防疫 fáng yì
defense	防御 fáng yù
to prevent; to guard against; to take precautions	防止 fáng zhǐ
prevention and cure	防治 fáng zhì
spinning and weaving	纺织 fǎng zhī
to enlarge; to magnify	放大 fàng dà
to radiate; radioactive	放射 fàng shè
let go; have a free hand; let go one's hold	放手 fàng shǒu
illegal	非法 fēi fǎ
birds and animals; the beasts of the field and the birds of the air	飞禽走兽 fēi qín zǒu shòu
fly	飞翔 fēi xiáng
to leap	飞跃 fēi yuè
fertile	肥沃 féi wò
slander; libel	诽谤 fěi bàng
gangster; bandit	匪徒 fěi tú
to abolish; to abrogate; to repeal	废除 fèi chú
boiling; ebullition	沸腾 fèi téng
ruins	废墟 fèi xū
to distinguish; to differentiate; to resolve; to defend against an accusation; to exculpate	分辨 fēn biàn
propriety; appropriate behavior; proper speech or action; within the norms	分寸 fēn cun
to tell; to instruct; to command	吩咐 fēn fù
a bonus; to award a bonus	分红 fēn hóng
to resolve; to decompose; to break down	分解 fēn jiě
to split up; to divide; to break up; fission	分裂 fēn liè
secrete	分泌 fēn mì
clearly demarcated; sharply contoured	分明 fēn míng
difference (of opinion, position); bifurcation	分歧 fēn qí
scatter; disperse; distribute	分散 fēn sàn
to split up; to break up	分手 fēn shǒu
sepulcher; tomb	坟墓 fén mù
fine powder; dust	粉末 fěn mò
white; light pink; erotic; beautiful woman; powdered (with make-up)	粉色 fěn sè
crash; break up	粉碎 fěn suì
weight; measure	分量 fèn liàng
storm; violent commotion; fig. crisis (e.g. revolution, uprising, financial crisis etc)	风暴 fēng bào
to seal; to close; to confine; to seal off; to close down; sealed; confined; closed; unreceptive	封闭 fēng bì
elegance (for men); elegant demeanor; grace; poise	风度 fēng dù
scene; view; sight; landscape; to be well-regarded; to be well-off; grand (topolect); impressive (topolect)	风光 fēng guāng
system of enfeoffment; feudalism; feudal; feudalistic	封建 fēng jiàn
sharp (e.g. knife blade); incisive; to the point	锋利 fēng lì
plentiful; rich; plump; well-rounded	丰满 fēng mǎn
general mood; atmosphere; common practice	风气 fēng qì
humor; wit; humorous; witty	风趣 fēng qù
rich; sumptuous	丰盛 fēng shèng
bumper harvest	丰收 fēng shōu
to blockade; to seal off	封锁 fēng suǒ
local conditions and customs (idiom)	风土人情 fēng tǔ rén qíng
local flavor; local style	风味 fēng wèi
to meet by chance; to come across; to fawn upon	逢 féng
to consecrate; to dedicate; to devote	奉献 fèng xiàn
veto; to overrule; to veto; to reject	否决 fǒu jué
a (married) couple; husband and wife; CL:對|对[duì]	夫妇 fū fù
lady; madam; Mrs.; CL:位[wèi]	夫人 fū ren
to elaborate (on a theme); to expound (the classics); perfunctory; to skimp; to botch; to do sth half-heartedly or just for show; barely enough to get by	敷衍 fū yǎn
width; extent; range; scope	幅度 fú dù
symbol; mark; sign	符号 fú hào
(material) welfare; well-being	福利 fú lì
captive	俘虏 fú lǔ
to be convinced; to accept	服气 fú qì
good fortune; to enjoy good fortune	福气 fú qi
radiation	辐射 fú shè
corruption; corrupt; rotten	腐败 fǔ bài
to rot; to become gangrenous	腐烂 fǔ làn
corrosion; to corrode (degrade chemically); to rot; corruption	腐蚀 fǔ shí
rotten; decayed; decadent; degenerate	腐朽 fǔ xiǔ
to foster; to bring up; to raise	抚养 fǔ yǎng
looking up and down; actions; being obliging	俯仰 fǔ yǎng
to assist; to aid; supplementary; auxiliary; subsidiary	辅助 fǔ zhù
secondary; auxiliary; deputy; assistant; vice-; abbr. for 副詞|副词 adverb; classifier for pairs	副 fù
burden; to bear a burden	负担 fù dān
to cover	覆盖 fù gài
to parrot; to crib; to copy sb's action or words; to trail sb's footsteps; copy-cat	附和 fù hè
to bring back to life; to revive; resurrection	复活 fù huó
enclosure; attachment (email); appendix	附件 fù jiàn
subsidiary; auxiliary; attached; affiliated; subordinate; subordinating	附属 fù shǔ
diarrhea; to have the runs	腹泻 fù xiè
to revive; rebirth	复兴 fù xīng
to assign; to entrust (a task); to give; to bestow	赋予 fù yǔ
abundant; affluent; richness; affluence	富裕 fù yù
side effect	副作用 fù zuò yòng
improve	改良 gǎi liáng
to affix a seal (to sth)	盖章 gài zhāng
awkward; embarrassed	尴尬 gān gà
drought; arid; dry	干旱 gān hàn
to interfere; obstruction	干扰 gān rǎo
to interfere; to meddle; interference	干涉 gān shè
to be willing to; to resign oneself to	甘心 gān xīn
to meddle; to intervene; intervention	干预 gān yù
lament; with a tinge of emotion or regret	感慨 gǎn kǎi
infection; to infect; to influence	感染 gǎn rǎn
enthusiasm for doing sth	干劲 gàn jìn
to raise aloft with both hands	扛 gāng
just recently; just a moment ago	刚刚 gāng gāng
program; guiding principle	纲领 gāng lǐng
port; harbor	港口 gǎng kǒu
natural harbor; bay serving as harbor	港湾 gǎng wān
a post; a job	岗位 gǎng wèi
lever; pry bar; crowbar; financial leverage	杠杆 gàng gǎn
excellent; superlative	高超 gāo chāo
high tide; high water; upsurge; climax; orgasm; chorus (part of a song)	高潮 gāo cháo
peak; summit; height	高峰 gāo fēng
college entrance exam; abbr. for 普通高等學校招生全國統一考試|普通高等学校招生全国统一考试[pǔ tōng gāo děng xué xiào zhāo shēng quán guó tǒng yī kǎo shì]	高考 gāo kǎo
wise; brilliant; superior	高明 gāo míng
nobly; lofty	高尚 gāo shàng
upsurge; (tensions etc) run high	高涨 gāo zhǎng
rough draft; material contributing to a final document	稿件 gǎo jiàn
to take leave	告辞 gào cí
to warn; to admonish	告诫 gào jiè
to cut; to cut apart	割 gē
to place; to put aside; to shelve	搁 gē
swelling or lump on skin; pimple; knot; preoccupation; problem	疙瘩 gē da
sing the praises of; extol; eulogize	歌颂 gē sòng
estrangement	隔阂 gé hé
structure; pattern; layout	格局 gé jú
to separate; to isolate	隔离 gé lí
form; specification; format	格式 gé shì
everyone gives their own view	各抒己见 gè shū jǐ jiàn
individual	个体 gè tǐ
each; respective; apiece	各自 gè zì
in front of; close to; nearby; the time just before	跟前 gēn qián
deep-rooted (problem etc)	根深蒂固 gēn shēn dì gù
to follow	跟随 gēn suí
origin; root (cause)	根源 gēn yuán
to follow sb's tracks; to tail; to shadow	跟踪 gēn zōng
arable land; to plow land	耕地 gēng dì
to replace the old with new; to renew; to renovate; to upgrade; to update; to regenerate	更新 gēng xīn
to correct; to make a correction	更正 gēng zhèng
Public Security Bureau	公安局 gōng ān jú
supply does not meet demand	供不应求 gōng bù yìng qiú
justice; fairness; public highway	公道 gōng dào
palace; CL:座[zuò]	宫殿 gōng diàn
time; skill	工夫 gōng fu
post; announcement	公告 gōng gào
public relations	公关 gōng guān
to attack; to accuse; to charge; an attack (terrorist or military)	攻击 gōng jī
to furnish; to provide; supply (as in supply and demand)	供给 gōng jǐ
deferential; with respect	恭敬 gōng jìng
homework; assignment; task; classwork; lesson; study; CL:門|门[mén]	功课 gōng kè
to capture; to take	攻克 gōng kè
contribution; meritorious service; credit	功劳 gōng láo
citizen	公民 gōng mín
husband's parents; parents-in-law	公婆 gōng pó
openly; publicly; undisguised	公然 gōng rán
publicly known (to be); accepted (as)	公认 gōng rèn
formula	公式 gōng shì
official business	公务 gōng wù
efficacy	功效 gōng xiào
handicraft article; handiwork; CL:個|个[gè]	工艺品 gōng yì pǐn
just; fair; equitable	公正 gōng zhèng
notarization; notarized; acknowledgement	公证 gōng zhèng
to consolidate; consolidation; to strengthen	巩固 gǒng gù
republic	共和国 gòng hé guó
to sum up to; to total	共计 gòng jì
physical resonance; sympathetic response to sth	共鸣 gòng míng
to collude with; to collaborate with; to gang up with	勾结 gōu jié
hook	钩子 gōu zi
to outline a story; to make a preliminary sketch	构思 gòu sī
lonely; solitary	孤独 gū dú
to fail to live up (to expectations); unworthy (of trust); to let down; to betray (hopes); to disappoint	辜负 gū fù
isolate; isolated	孤立 gū lì
temporarily; the time being; for the moment; provisional; tentatively	姑且 gū qiě
shareholder; stockholder	股东 gǔ dōng
curio; antique	古董 gǔ dǒng
to agitate; to arouse; to instigate; to encite	鼓动 gǔ dòng
a share (in a company); stock	股份 gǔ fèn
diaphysis (long segment of a bone); fig. backbone	骨干 gǔ gàn
eccentric; grotesque; oddly; queer	古怪 gǔ guài
misgivings; apprehensions	顾虑 gù lǜ
admittedly (it's true that...)	固然 gù rán
adviser; consultant	顾问 gù wèn
home; homeland; native place; CL:個|个[gè]	故乡 gù xiāng
intrinsic to sth; inherent; native	固有 gù yǒu
malfunction; breakdown; defect; shortcoming; fault; failure; impediment; error; bug (in software)	故障 gù zhàng
persistent; stubborn	固执 gù zhi
crutches; crutch; walking stick	拐杖 guǎi zhàng
official; (by the) government	官方 guān fāng
to tour; sightseeing; tourism	观光 guān guāng
to take care; to keep an eye on; to look after; to tell; to remind	关照 guān zhào
to administer; to have jurisdiction (over)	管辖 guǎn xiá
can; jar; pot	罐 guàn
to implement; to put into practice; to carry out	贯彻 guàn chè
to irrigate	灌溉 guàn gài
conventional	惯例 guàn lì
luster; splendor; radiance; brilliance	光彩 guāng cǎi
radiance; glory; brilliant; magnificent	光辉 guāng huī
rays of light; brilliant rays; radiance	光芒 guāng máng
wide; vast	广阔 guǎng kuò
norm; standard; specification; regulation; rule; within the rules; to fix rules; to regulate; to specify	规范 guī fàn
standard; norm; specification	规格 guī gé
(saying) to sum it up...	归根到底 guī gēn dào dǐ
plan; program	规划 guī huà
to return sth; to revert	归还 guī huán
to sum up; to summarize; to conclude from facts; induction (method of deduction in logic)	归纳 guī nà
rule; regulation	规章 guī zhāng
orbit; railway or tram line; fig. conventional way of thinking	轨道 guǐ dào
kneel	跪 guì
lord; nobility; nobleman; noblewoman; aristocrat; aristocracy	贵族 guì zú
club	棍棒 gùn bàng
national defense	国防 guó fáng
State Council (PRC); State Department (USA)	国务院 Guó Wù Yuàn
firm; decisive	果断 guǒ duàn
excessive; over-; excess; going too far; extravagant; intemperate; overdue	过度 guò dù
to cross over (by ferry); transition; interim; caretaker (administration)	过渡 guò dù
to over-praise; to flatter	过奖 guò jiǎng
to filter; filter	过滤 guò lǜ
defect; fault	过失 guò shī
to show an interest in; to get involved with	过问 guò wèn
to satisfy a craving; to get a kick out of sth; gratifying; immensely enjoyable; satisfying; fulfilling	过瘾 guò yǐn
too much; excessively	过于 guò yú
oh alas; hey!; hi! (loanword)	嗨 hāi
height above sea level; elevation	海拔 hǎi bá
shore; seaside	海滨 hǎi bīn
obscurity; vague	含糊 hán hu
exchanging conventional greetings; to talk about the weather	寒暄 hán xuān
meaning (implicit in a phrase); implied meaning; hidden meaning; hint; connotation	含义 hán yì
rare; rarely seen	罕见 hǎn jiàn
defend; uphold; safeguard	捍卫 hàn wèi
aviation	航空 háng kōng
procession	行列 háng liè
space flight	航天 háng tiān
to sail; to fly; to navigate	航行 háng xíng
bold; open-minded; heroic	豪迈 háo mài
millimeter	毫米 háo mǐ
not in the least; none whatsoever; completely without	毫无 háo wú
to waste; to spend; to consume; to squander	耗费 hào fèi
hospitality; to treat guests well; to enjoy having guests; hospitable; friendly	好客 hào kè
to call; to appeal	号召 hào zhào
to scold in a loud voice; to yawn	呵 hē
kindly; nice; amiable	和蔼 hé ǎi
to merge; to annex	合并 hé bìng
to compose; to constitute; compound; synthesis; mixture; synthetic	合成 hé chéng
to accord with; conforming to	合乎 hé hū
to act jointly; to form a partnership	合伙 hé huǒ
to settle (a dispute out of court); to reconcile; settlement; conciliation; to become reconciled	和解 hé jiě
peaceful relations; harmonious	和睦 hé mù
friendly; polite; amiable	和气 hé qi
well-fitting (of clothes)	合身 hé shēn
worthwhile; be a good deal; be a bargain; reckon up; calculate	合算 hé suàn
harmonious	和谐 hé xié
hey	嘿 hēi
vestige; mark; trace	痕迹 hén jì
callous; heartless	狠心 hěn xīn
wishing one could do sth; to hate to be unable; itching to do sth; can't wait for; to wish one could do sth; to desire strongly	恨不得 hèn bu dé
to groan; to snort; to hum; to croon; humph!	哼 hēng
roar of laughter (onomatopoeia); hubbub; to roar (as a crowd)	哄 hōng
to bake; to heat by fire	烘 hōng
sensation; stir	轰动 hōng dòng
lit. money wrapped in red as a gift; a bonus payment; a kickback; a bribe	红包 hóng bāo
macro-; macroscopic; holistic	宏观 hóng guān
deluge; flood	洪水 hóng shuǐ
grand; imposing; magnificent	宏伟 hóng wěi
throat; larynx	喉咙 hóu lóng
roar or howl of an animal; bellow of rage	吼 hǒu
posterity; later periods; later ages; later generations	后代 hòu dài
fears of trouble in the rear (idiom); family worries (obstructing freedom of action); worries about the future consequences; often in negative expressions, meaning "no worries about anything"	后顾之忧 hòu gù zhī yōu
rear; back; behind; later; afterwards	后面 hòu miàn
logistics	后勤 hòu qín
candidate	候选 hòu xuǎn
to neglect; to overlook; to ignore	忽略 hū lüè
to whistle; to scream; to whiz	呼啸 hū xiào
to call on (sb to do sth); to appeal (to); an appeal	呼吁 hū yù
careless; reckless; casually; absent-mindedly; at will; at random; any old how	胡乱 hú luàn
lake	湖泊 hú pō
the Internet	互联网 hù lián wǎng
gorgeous	华丽 huá lì
overseas Chinese; CL:個|个[gè],位[wèi]	华侨 huá qiáo
fertilizer	化肥 huà féi
to divide	划分 huà fēn
lit. draw legs on a snake (idiom); fig. to ruin the effect by adding sth superfluous; to overdo it	画蛇添足 huà shé tiān zú
fossil	化石 huà shí
microphone	话筒 huà tǒng
laboratory test; chemical experiment; assay	化验 huà yàn
to put on make-up	化妆 huà zhuāng
pregnant; to have conceived; gestation; pregnancy	怀孕 huái yùn
gaiety; gladness; glee; merriment; pleasure; happy; joyous; gay	欢乐 huān lè
round segment; segment (of annelid worms); connection; link; sector; annular ring	环节 huán jié
to restore to the original state; reduction (chemistry)	还原 huán yuán
to ease (tension); to alleviate; to moderate; to allay; to make more mild	缓和 huǎn hé
patient; sufferer	患者 huàn zhě
desolate	荒凉 huāng liáng
in a great rush; in a flurry	慌忙 huāng máng
absurd; ridiculous	荒谬 huāng miù
beyond belief; preposterous; absurd; intemperate; dissipated	荒唐 huāng táng
dusk; evening; nightfall	黄昏 huáng hūn
to suddenly realize; to suddenly see the light	恍然大悟 huǎng rán dà wù
splendid; glorious	辉煌 huī huáng
to squander money; extravagant; prodigal; free and easy; agile	挥霍 huī huò
(in) return; reciprocation; payback; retaliation; to report back; to reciprocate	回报 huí bào
to evade; to shun; to avoid	回避 huí bì
to look back; to review	回顾 huí gù
to recycle; to reclaim; to retrieve; to recover	回收 huí shōu
remorse; repentance	悔恨 huǐ hèn
perish; ruin; destroy	毁灭 huǐ miè
to report; to give an account of; to collect information and report back	汇报 huì bào
to bribe; a bribe	贿赂 huì lù
to meet; meeting; conference	会晤 huì wù
to lose consciousness; to be in a coma; stupor; coma; stunned; disoriented	昏迷 hūn mí
all over; from head to foot	浑身 hún shēn
to mix; to blend	混合 hùn hé
confusion; chaos; disorder	混乱 hùn luàn
to obscure; to confuse; to mix up; to blur; to mislead	混淆 hùn xiáo
turbid; muddy; dirty	混浊 hùn zhuó
(coll.) serve sb right; deservedly; ought; should	活该 huó gāi
energy; vitality; vigor; vital force	活力 huó lì
rocket; CL:枚[méi]	火箭 huǒ jiàn
blaze; flame	火焰 huǒ yàn
gunpowder	火药 huǒ yào
currency; monetary; money	货币 huò bì
perhaps; maybe	或许 huò xǔ
base (of operations); industrial or military base; al-Qaeda	基地 jī dì
locomotive; motorized; power-driven; adaptable; flexible (use, treatment, timing etc)	机动 jī dòng
hunger; starvation; famine	饥饿 jī è
to arouse; to excite	激发 jī fā
mechanism; structure; organization; agency; institution; CL:所[suǒ]	机构 jī gòu
mechanism; gear; machine-operated; office; agency; organ; organization; establishment; institution; body; strategum; scheme; intrigue; plot; trick; CL:個|个[gè]	机关 jī guān
fund	基金 jī jīn
to encourage; to urge; motivation; incentive	激励 jī lì
clever; quick-witted	机灵 jī ling
secret; classified (information)	机密 jī mì
