ID,uid,Chinese,Trad.,Pinyin,PlainPY,Definition
275,275,带,带,dài,dai4,"band; belt; girdle; ribbon; tire; area; zone; region; Classifiers: 条 ; to 
wear; to carry; to take along; to bear (i.e. to have); to lead; to bring; 
to look after; to raise"
276,276,着,着,zhe,zhe5,aspect particle indicating action in progress
277,277,七,七,qī,qi1,seven; 7
278,278,年前,年前,niánqián,nian2 qian2,before the end of the year; before the new year
279,279,对,对,duì,dui4,"right; correct; couple; pair; towards; at; for; to face; opposite; to treat 
(sb a certain way); to match together; to adjust; to fit; to suit; to 
answer; to reply; classifier: couple"
280,280,你的,你的,nǐde,ni3 de5,your; yours
281,281,情感,情感,qínggǎn,qing2 gan3,feeling; emotion; to move (emotionally)
282,282,同意,同意,tóngyì,tong2 yi4,to agree; to consent; to approve
283,283,了,了,le,le5,"(completed action marker); (modal particle indicating change of state, 
situation now); (modal particle intensifying preceding clause)"
284,284,是的,是的,shìde,shi4 de5,"yes, that's right; variant of 似的"
285,285,就是,就是,jiùshì,jiu4 shi4,"(emphasizes that sth is precisely or exactly as stated); precisely; 
exactly; even; if; just like; in the same way as"
286,286,我们,我们,wǒmen,wo3 men5,we; us; ourselves; our
287,287,发生,发生,fāshēng,fa1 sheng1,to happen; to occur; to take place; to break out
288,288,性关系,性关系,xìngguānxi,xing4 guan1 xi5,sexual relations; sexual contact; intercourse
289,289,了,了,le,le5,"(completed action marker); (modal particle indicating change of state, 
situation now); (modal particle intensifying preceding clause)"
290,290,感情,感情,gǎnqíng,gan3 qing2,"emotion; sentiment; affection; feelings between two persons; Classifiers: 个 
,种"
291,291,这,这,zhè,zhe4,"this; these; (commonly pr. [zhei4] before a classifier, esp. in Beijing)"
292,292,东西,东西,dōngxi,dong1 xi5,thing; stuff; person; Classifiers: 个
293,293,很,很,hěn,hen3,(adverb of degree); quite; very; awfully
294,294,复杂,复杂,fùzá,fu4 za2,complicated; complex
295,295,说不清,说不清,shuōbùqīng,shuo1 bu4 qing1,
296,296,从,从,cóng,Cong2,"from; through; via; to follow; to obey; to engage in (an activity); never 
(in negative sentence); (Taiwan pr. [zong4]) retainer; assistant; 
auxiliary; subordinate; related by common paternal grandfather or earlier 
ancestor; surname Cong"
297,297,那,那,nà,na4,"that; those; then (in that case); commonly pr. [nei4] before a classifier, 
esp. in Beijing"
298,298,日后,日后,rìhòu,ri4 hou4,sometime; someday (in the future)
299,299,我,我,wǒ,wo3,I; me; my
300,300,再次,再次,zàicì,zai4 ci4,one more time; again; one more; once again
301,301,打开,打开,dǎkāi,da3 kai1,to open; to show (a ticket); to turn on; to switch on
302,302,了,了,le,le5,"(completed action marker); (modal particle indicating change of state, 
situation now); (modal particle intensifying preceding clause)"
303,303,对,对,duì,dui4,"right; correct; couple; pair; towards; at; for; to face; opposite; to treat 
(sb a certain way); to match together; to adjust; to fit; to suit; to 
answer; to reply; classifier: couple"
304,304,你的,你的,nǐde,ni3 de5,your; yours
305,305,爱,爱,ài,ai4,"to love; to be fond of; to like; affection; to be inclined (to do sth); to 
tend to (happen)"
306,306,后来,后来,hòulái,hou4 lai2,afterwards; later
307,307,与,与,yǔ,yu3,and; to give; together with
308,308,你,你,nǐ,ni3,"you (informal, as opposed to courteous 您 )"
309,309,相处,相处,xiāngchǔ,xiang1 chu3,"to be in contact (with sb); to associate; to interact; to get along (well, 
poorly)"
310,310,的,的,de,de5,"of; ~'s (possessive particle); (used after an attribute); (used to form a 
nominal expression); (used at the end of a declarative sentence for 
emphasis); also pr. [di4] or [di5] in poetry and songs"
311,311,日子,日子,rìzi,ri4 zi5,day; a (calendar) date; days of one's life
312,312,里,里,lǐ,Li3,"lining; interior; inside; internal; also written 里 ; li, ancient measure of 
length, approx. 500 m; neighborhood; ancient administrative unit of 25 
families; (Tw) borough, administrative unit between the township 镇 levels; 
variant of 里"
313,313,单,单,dān,dan1,bill; list; form; single; only; sole; odd number; Classifiers: 个
314,314,从,从,cóng,Cong2,"from; through; via; to follow; to obey; to engage in (an activity); never 
(in negative sentence); (Taiwan pr. [zong4]) retainer; assistant; 
auxiliary; subordinate; related by common paternal grandfather or earlier 
ancestor; surname Cong"
315,315,你,你,nǐ,ni3,"you (informal, as opposed to courteous 您 )"
316,316,人,人,rén,ren2,man; person; people; Classifiers: 个
317,317,相处,相处,xiāngchǔ,xiang1 chu3,"to be in contact (with sb); to associate; to interact; to get along (well, 
poorly)"
318,318,你,你,nǐ,ni3,"you (informal, as opposed to courteous 您 )"
319,319,是,是,shì,shi4,is; are; am; yes; to be; variant of 是 ; (used in given names)
320,320,一个,一个,yīgè,yi1 ge4,
321,321,很好,很好,hěnhǎo,hen3 hao3,well
322,322,很好,很好,hěnhǎo,hen3 hao3,well
323,323,的,的,de,de5,"of; ~'s (possessive particle); (used after an attribute); (used to form a 
nominal expression); (used at the end of a declarative sentence for 
emphasis); also pr. [di4] or [di5] in poetry and songs"
324,324,人,人,rén,ren2,man; person; people; Classifiers: 个
325,325,对,对,duì,dui4,"right; correct; couple; pair; towards; at; for; to face; opposite; to treat 
(sb a certain way); to match together; to adjust; to fit; to suit; to 
answer; to reply; classifier: couple"
326,326,我,我,wǒ,wo3,I; me; my
327,327,也,也,yě,Ye3,"also; too; (in Classical Chinese) final particle implying affirmation; 
surname Ye"
328,328,挺好,挺好,tǐnghǎo,ting3 hao3,very good
329,329,我们,我们,wǒmen,wo3 men5,we; us; ourselves; our
330,330,从,从,cóng,Cong2,"from; through; via; to follow; to obey; to engage in (an activity); never 
(in negative sentence); (Taiwan pr. [zong4]) retainer; assistant; 
auxiliary; subordinate; related by common paternal grandfather or earlier 
ancestor; surname Cong"
331,331,近代,近代,jìndài,jin4 dai4,"the not-very-distant past; modern times, excluding recent decades; (in the 
context of Chinese history) the period from the Opium Wars until the May 
4th Movement (mid-19th century to 1919); capitalist times (pre-1949)"
332,332,历史,历史,lìshǐ,li4 shi3,history; Classifiers: 门
333,333,归,歸,guī,Gui1,"to return; to go back to; to give back to; (of a responsibility) to be 
taken care of by; to belong to; to gather together; (used between two 
identical verbs) despite; to marry (of a woman) (old); division on the 
abacus with a one-digit divisor; surname Gui"
334,334,到,到,dào,dao4,"to (a place); until (a time); up to; to go; to arrive; (verb complement 
denoting completion or result of an action)"
335,335,远古,远古,yuǎngǔ,yuan3 gu3,antiquity; ancient times
336,336,时代,时代,shídài,Shi2 dai4,"age; era; epoch; period (in one's life); Classifiers: 个 ; age; era; epoch; 
period (in one's life); Classifiers: 个"
337,337,你,你,nǐ,ni3,"you (informal, as opposed to courteous 您 )"
338,338,同,同,tóng,tong2,"like; same; similar; together; alike; with; (used in given names); variant 
of 同"
339,339,我,我,wǒ,wo3,I; me; my
340,340,讲,讲,jiǎng,jiang3,"to speak; to explain; to negotiate; to emphasise; to be particular about; 
as far as sth is concerned; speech; lecture"
341,341,万物,万物,wànwù,wan4 wu4,all living things
342,342,的,的,de,de5,"of; ~'s (possessive particle); (used after an attribute); (used to form a 
nominal expression); (used at the end of a declarative sentence for 
emphasis); also pr. [di4] or [di5] in poetry and songs"
343,343,知识,知识,zhīshi,zhi1 shi5,knowledge; Classifiers: 门 ; intellectual
344,344,再,再,zài,zai4,"again; once more; re-; second; another; then (after sth, and not until 
then); no matter how ... (followed by an adjective or verb, and then 
(usually) 也 or 都 for emphasis)"
345,345,谈到,谈到,tándào,tan2 dao4,to refer to; to speak about; to talk about
346,346,经济,经济,jīngjì,jing1 ji4,economy; economic
347,347,哲学,哲学,zhéxué,zhe2 xue2,philosophy; Classifiers: 个
348,348,聊,聊,liáo,liao2,to chat; to depend upon (literary); temporarily; just; slightly
349,349,不,不,bù,bu4,(negative prefix); not; no; variant of 不 ; (negative prefix); not; no
350,350,完,完,wán,wan2,to finish; to be over; whole; complete; entire
351,351,的,的,de,de5,"of; ~'s (possessive particle); (used after an attribute); (used to form a 
nominal expression); (used at the end of a declarative sentence for 
emphasis); also pr. [di4] or [di5] in poetry and songs"
352,352,话题,话题,huàtí,hua4 ti2,subject (of a talk or conversation); topic
353,353,一起,一起,yīqǐ,yi1 qi3,in the same place; together; with; altogether (in total)
354,354,下棋,下棋,xiàqí,xia4 qi2,to play chess
355,355,唱歌,唱歌,chànggē,chang4 ge1,to sing a song
356,356,打,打,dǎ,da3,"to beat; to strike; to hit; to break; to type; to mix up; to build; to 
fight; to fetch; to make; to tie up; to issue; to shoot; to calculate; to 
play (a game); since; from"
357,357,乒乓球,乒乓球,pīngpāngqiú,ping1 pang1 qiu2,table tennis; ping-pong; table tennis ball; Classifiers: 个
358,358,桌球,桌球,zhuōqiú,zhuo1 qiu2,"table tennis; table tennis ball (Tw); billiards; pool; snooker (HK, 
Singapore, Malaysia)"
359,359,包括,包括,bāokuò,bao1 kuo4,to comprise; to include; to involve; to incorporate; to consist of
360,360,网球,网球,wǎngqiú,wang3 qiu2,tennis; tennis ball; Classifiers: 个
361,361,我们,我们,wǒmen,wo3 men5,we; us; ourselves; our
362,362,永远,永远,yǒngyuǎn,yong3 yuan3,forever; eternal
363,363,可以,可以,kěyǐ,ke3 yi3,can; may; possible; able to; not bad; pretty good
364,364,打,打,dǎ,da3,"to beat; to strike; to hit; to break; to type; to mix up; to build; to 
fight; to fetch; to make; to tie up; to issue; to shoot; to calculate; to 
play (a game); since; from"
365,365,得,得,dé,de2,"to obtain; to get; to gain; to catch (a disease); proper; suitable; proud; 
contented; to allow; to permit; ready; finished"
366,366,不亦乐乎,不亦乐乎,bùyìlèhū,bu4 yi4 le4 hu1,"lit. isn't that a joy? (quote from Confucius); fig. (jocularly) extremely; 
awfully"
367,367,性格,性格,xìnggé,xing4 ge2,nature; disposition; temperament; character; Classifiers: 个
368,368,是,是,shì,shi4,is; are; am; yes; to be; variant of 是 ; (used in given names)
369,369,那么,那么,nàme,na4 me5,like that; in that way; or so; so; so very much; about; in that case
370,370,的,的,de,de5,"of; ~'s (possessive particle); (used after an attribute); (used to form a 
nominal expression); (used at the end of a declarative sentence for 
emphasis); also pr. [di4] or [di5] in poetry and songs"
371,371,合得,合得,hédé,he2 de2,
372,372,来,来,lái,lai2,to come; to arrive; to come round; ever since; next
373,373,好像,好像,hǎoxiàng,hao3 xiang4,as if; to seem like
374,374,一切,一切,yīqiè,yi1 qie4,everything; every; all
375,375,都,都,dōu,dou1,all; both; entirely; (used for emphasis) even; already; (not) at all
376,376,很,很,hěn,hen3,(adverb of degree); quite; very; awfully
377,377,搭,搭,dā,da1,"to put up; to build (scaffolding); to hang (clothes on a pole); to connect; 
to join; to arrange in pairs; to match; to add; to throw in (resources); to 
take (boat, train); variant of 褡"
378,378,自小,自小,zìxiǎo,zi4 xiao3,
379,379,离家,离家,líjiā,li2 jia1,
380,380,早,早,zǎo,zao3,early; morning; Good morning!; long ago; prematurely
381,381,内心,内心,nèixīn,nei4 xin1,heart; innermost being; (math.) incenter
382,382,极度,极度,jídù,ji2 du4,extremely
383,383,缺,缺,quē,que1,deficiency; lack; scarce; vacant post; to run short of
384,384,爱,爱,ài,ai4,"to love; to be fond of; to like; affection; to be inclined (to do sth); to 
tend to (happen)"
385,385,面对,面对,miànduì,mian4 dui4,to confront; to face
386,386,发生,发生,fāshēng,fa1 sheng1,to happen; to occur; to take place; to break out
387,387,这,这,zhè,zhe4,"this; these; (commonly pr. [zhei4] before a classifier, esp. in Beijing)"
388,388,一切,一切,yīqiè,yi1 qie4,everything; every; all
389,389,我,我,wǒ,wo3,I; me; my
390,390,从不,从不,cóngbù,cong2 bu4,never
391,391,认为,认为,rènwéi,ren4 wei2,to believe; to think; to consider; to feel
392,392,我,我,wǒ,wo3,I; me; my
393,393,一个,一个,yīgè,yi1 ge4,
394,394,好,好,hǎo,hao3,"good; well; proper; good to; easy to; very; so; (suffix indicating 
completion or readiness); (of two people) close; on intimate terms; (after 
a personal pronoun) hello"
395,395,女孩,女孩,nǚhái,nu:3 hai2,girl; lass
396,396,我,我,wǒ,wo3,I; me; my
397,397,恨,恨,hèn,hen4,to hate; to regret
398,398,我自己,我自己,wǒzìjǐ,wo3 zi4 ji3,myself; my own
399,399,恨,恨,hèn,hen4,to hate; to regret
400,400,我,我,wǒ,wo3,I; me; my
401,401,为什么,为什么,wèishénme,wei4 shen2 me5,why?; for what reason?
402,402,要,要,yào,yao4,"important; vital; to want; to ask for; will; going to (as future 
auxiliary); may; must; (used in a comparison) must be; probably; if"
403,403,来到,来到,láidào,lai2 dao4,to come; to arrive
404,404,这个,这个,zhège,zhe4 ge5,this; this one
405,405,世界,世界,shìjiè,shi4 jie4,world; Classifiers: 个
406,406,经历,经历,jīnglì,jing1 li4,experience; Classifiers: 个 ; to experience; to go through
407,407,这,这,zhè,zhe4,"this; these; (commonly pr. [zhei4] before a classifier, esp. in Beijing)"
408,408,一,一,yī,yi1,"one; 1; single; a (article); as soon as; entire; whole; all; throughout; 
""one"" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for 
greater clarity when spelling out numbers digit by digit"
409,409,劫,劫,jié,jie2,"to rob; to plunder; to seize by force; to coerce; calamity; abbr. for 劫波 , 
from Sanskrit कल्प (kalpa); variant of 劫 ; variant of 劫 ; variant of 劫"
410,410,你,你,nǐ,ni3,"you (informal, as opposed to courteous 您 )"
411,411,同,同,tóng,tong2,"like; same; similar; together; alike; with; (used in given names); variant 
of 同"
412,412,我,我,wǒ,wo3,I; me; my
413,413,说你爱我,说你爱我,shuōnǐàiwǒ,shuo1 ni3 ai4 wo3,
414,414,很,很,hěn,hen3,(adverb of degree); quite; very; awfully
415,415,爱,爱,ài,ai4,"to love; to be fond of; to like; affection; to be inclined (to do sth); to 
tend to (happen)"
416,416,很,很,hěn,hen3,(adverb of degree); quite; very; awfully
417,417,爱,爱,ài,ai4,"to love; to be fond of; to like; affection; to be inclined (to do sth); to 
tend to (happen)"
418,418,未,未,wèi,wei4,"not yet; did not; have not; not; 8th earthly branch: 1-3 p.m., 6th solar 
month (7th July-6th August), year of the Sheep; ancient Chinese compass 
point: 210°"
419,419,生,生,shēng,sheng1,to be born; to give birth; life; to grow; raw; uncooked; student
420,420,希望,希望,xīwàng,xi1 wang4,to wish for; to desire; hope; Classifiers: 个
421,421,在,在,zài,zai4,"(located) at; (to be) in; to exist; in the middle of doing sth; (indicating 
an action in progress)"
422,422,你,你,nǐ,ni3,"you (informal, as opposed to courteous 您 )"
423,423,二十,二十,èrshí,er4 shi2,twenty; 20
424,424,岁,岁,suì,sui4,"classifier for years (of age); year; year (of crop harvests); variant of 岁 
, year; years old"
425,425,我,我,wǒ,wo3,I; me; my
426,426,十八,十八,shíbā,shi2 ba1,eighteen; 18
427,427,岁时,岁时,suìshí,sui4 shi2,season; time of the year
428,428,我们,我们,wǒmen,wo3 men5,we; us; ourselves; our
429,429,就,就,jiù,jiu4,"at once; right away; only; just (emphasis); as early as; already; as soon 
as; then; in that case; as many as; even if; to approach; to move towards; 
to undertake; to engage in; to suffer; subjected to; to accomplish; to take 
advantage of; to go with (of foods); with regard to; concerning"
430,430,遇见,遇见,yùjiàn,yu4 jian4,to meet
431,431,你,你,nǐ,ni3,"you (informal, as opposed to courteous 您 )"
432,432,说,说,shuō,shuo1,"to speak; to say; to explain; to scold; to tell off; a theory (typically 
the last character in a compound, as in 日心说 heliocentric theory); variant 
of 说"
433,433,你,你,nǐ,ni3,"you (informal, as opposed to courteous 您 )"
434,434,很,很,hěn,hen3,(adverb of degree); quite; very; awfully
435,435,孤独,孤独,gūdú,gu1 du2,lonely; solitary
436,436,一个人,一个人,yīgèrén,yi1 ge4 ren2,by oneself (without assistance); alone (without company)
437,437,很,很,hěn,hen3,(adverb of degree); quite; very; awfully
438,438,可怜,可怜,kělián,ke3 lian2,pitiful; pathetic; to have pity on
439,439,我们,我们,wǒmen,wo3 men5,we; us; ourselves; our
440,440,有,有,yǒu,you3,to have; there is; there are; to exist; to be
441,441,聊,聊,liáo,liao2,to chat; to depend upon (literary); temporarily; just; slightly
442,442,不,不,bù,bu4,(negative prefix); not; no; variant of 不 ; (negative prefix); not; no
443,443,完,完,wán,wan2,to finish; to be over; whole; complete; entire
444,444,的,的,de,de5,"of; ~'s (possessive particle); (used after an attribute); (used to form a 
nominal expression); (used at the end of a declarative sentence for 
emphasis); also pr. [di4] or [di5] in poetry and songs"
445,445,天,天,tiān,tian1,day; sky; heaven
446,446,讲,讲,jiǎng,jiang3,"to speak; to explain; to negotiate; to emphasise; to be particular about; 
as far as sth is concerned; speech; lecture"
447,447,不,不,bù,bu4,(negative prefix); not; no; variant of 不 ; (negative prefix); not; no
448,448,完,完,wán,wan2,to finish; to be over; whole; complete; entire
449,449,的话,的话,dehuà,de5 hua4,if (coming after a conditional clause)
450,450,你,你,nǐ,ni3,"you (informal, as opposed to courteous 您 )"
451,451,说,说,shuō,shuo1,"to speak; to say; to explain; to scold; to tell off; a theory (typically 
the last character in a compound, as in 日心说 heliocentric theory); variant 
of 说"
452,452,你,你,nǐ,ni3,"you (informal, as opposed to courteous 您 )"
453,453,这个,这个,zhège,zhe4 ge5,this; this one
454,454,位置,位置,wèizhi,wei4 zhi5,position; place; seat; Classifiers: 个
455,455,没有办法,没有办法,méiyǒubànfǎ,mei2 you3 ban4 fa3,there is nothing to be done; one can't do anything about it
456,456,离婚,离婚,líhūn,li2 hun1,to divorce; divorced from (one's spouse)
457,457,如果,如果,rúguǒ,ru2 guo3,if; in case; in the event that
458,458,你,你,nǐ,ni3,"you (informal, as opposed to courteous 您 )"
459,459,在,在,zài,zai4,"(located) at; (to be) in; to exist; in the middle of doing sth; (indicating 
an action in progress)"
460,460,山东,山东,shāndōng,Shan1 dong1,"Shandong, province in northeast China, short name 鲁 , capital Jinan 济南"
461,461,时,时,shí,shi2,o'clock; time; when; hour; season; period; surname Shi; old variant of 时
462,462,认识,认识,rènshi,ren4 shi5,"to know; to recognize; to be familiar with; to get acquainted with sb; 
knowledge; understanding; awareness; cognition"
463,463,还,还,hái,hai2,"still; still in progress; still more; yet; even more; in addition; fairly; 
passably (good); as early as; even; also; else"
464,464,可以,可以,kěyǐ,ke3 yi3,can; may; possible; able to; not bad; pretty good
465,465,离婚,离婚,líhūn,li2 hun1,to divorce; divorced from (one's spouse)
466,466,可是,可是,kěshì,ke3 shi4,but; however; (used for emphasis) indeed
467,467,现在,现在,xiànzài,xian4 zai4,now; at present; at the moment; modern; current; nowadays
468,468,没有办法,没有办法,méiyǒubànfǎ,mei2 you3 ban4 fa3,there is nothing to be done; one can't do anything about it
469,469,我,我,wǒ,wo3,I; me; my
470,470,想,想,xiǎng,xiang3,"to think; to believe; to suppose; to wish; to want; to miss (feel wistful 
about the absence of sb or sth)"
471,471,过,过,guò,Guo4,"to cross; to go over; to pass (time); to celebrate (a holiday); to live; to 
get along; excessively; too-; surname Guo"
472,472,默默无闻,默默无闻,mòmòwúwén,mo4 mo4 wu2 wen2,"obscure and unknown (idiom); an outsider without any reputation; a nobody; 
an unknown quantity"
473,473,就,就,jiù,jiu4,"at once; right away; only; just (emphasis); as early as; already; as soon 
as; then; in that case; as many as; even if; to approach; to move towards; 
to undertake; to engage in; to suffer; subjected to; to accomplish; to take 
advantage of; to go with (of foods); with regard to; concerning"
474,474,这样,这样,zhèyàng,zhe4 yang4,this kind of; so; this way; like this; such
475,475,陪,陪,péi,pei2,to accompany; to keep sb company; to assist; old variant of 赔
476,476,着,着,zhe,zhe5,aspect particle indicating action in progress
477,477,你,你,nǐ,ni3,"you (informal, as opposed to courteous 您 )"
478,478,开始,开始,kāishǐ,kai1 shi3,to begin; beginning; to start; initial; Classifiers: 个
479,479,还好,还好,háihǎo,hai2 hao3,not bad; tolerable; fortunately
480,480,可是,可是,kěshì,ke3 shi4,but; however; (used for emphasis) indeed
481,481,日子,日子,rìzi,ri4 zi5,day; a (calendar) date; days of one's life
482,482,久,久,jiǔ,jiu3,(long) time; (long) duration of time
483,483,了,了,le,le5,"(completed action marker); (modal particle indicating change of state, 
situation now); (modal particle intensifying preceding clause)"
484,484,慢慢,慢慢,mànmàn,man4 man4,slowly
485,485,的,的,de,de5,"of; ~'s (possessive particle); (used after an attribute); (used to form a 
nominal expression); (used at the end of a declarative sentence for 
emphasis); also pr. [di4] or [di5] in poetry and songs"
486,486,变,变,biàn,bian4,to change; to become different; to transform; to vary; rebellion
487,487,了,了,le,le5,"(completed action marker); (modal particle indicating change of state, 
situation now); (modal particle intensifying preceding clause)"
488,488,太多,太多,tàiduō,tai4 duo1,too much
489,489,的,的,de,de5,"of; ~'s (possessive particle); (used after an attribute); (used to form a 
nominal expression); (used at the end of a declarative sentence for 
emphasis); also pr. [di4] or [di5] in poetry and songs"
490,490,不公,不公,bùgōng,bu4 gong1,unjust; unfair
491,491,与,与,yǔ,yu3,and; to give; together with
492,492,侮辱,侮辱,wǔrǔ,wu3 ru3,to insult; to humiliate; dishonor
493,493,每次,每次,měicì,mei3 ci4,every time
494,494,你,你,nǐ,ni3,"you (informal, as opposed to courteous 您 )"
495,495,让,让,ràng,rang4,"to yield; to permit; to let sb do sth; to have sb do sth; to make sb (feel 
sad etc); by (indicates the agent in a passive clause, like 被 )"
496,496,我去,我去,wǒqù,wo3 qu4,(slang) dang!; shoot!
497,497,背着,背着,bēizhe,bei1 zhe5,
498,498,你,你,nǐ,ni3,"you (informal, as opposed to courteous 您 )"
499,499,你,你,nǐ,ni3,"you (informal, as opposed to courteous 您 )"
500,500,要,要,yào,yao4,"important; vital; to want; to ask for; will; going to (as future 
auxiliary); may; must; (used in a comparison) must be; probably; if"
501,501,子,子,zǐ,zi3,"son; child; seed; egg; small thing; 1st earthly branch: 11 p.m.-1 a.m., 
midnight, 11th solar month (7th December to 5th January), year of the Rat; 
Viscount, fourth of five orders of nobility 五等爵位 ; ancient Chinese compass 
point: 0° (north)"
502,502,对,对,duì,dui4,"right; correct; couple; pair; towards; at; for; to face; opposite; to treat 
(sb a certain way); to match together; to adjust; to fit; to suit; to 
answer; to reply; classifier: couple"
503,503,我,我,wǒ,wo3,I; me; my
504,504,说,说,shuō,shuo1,"to speak; to say; to explain; to scold; to tell off; a theory (typically 
the last character in a compound, as in 日心说 heliocentric theory); variant 
of 说"
505,505,过,过,guò,Guo4,"to cross; to go over; to pass (time); to celebrate (a holiday); to live; to 
get along; excessively; too-; surname Guo"
506,506,多少,多少,duōshǎo,duo1 shao3,number; amount; somewhat
507,507,难听,难听,nántīng,nan2 ting1,unpleasant to hear; coarse; vulgar; offensive; shameful
508,508,侮辱,侮辱,wǔrǔ,wu3 ru3,to insult; to humiliate; dishonor
509,509,的话,的话,dehuà,de5 hua4,if (coming after a conditional clause)
510,510,各种,各种,gèzhǒng,ge4 zhong3,every kind of; all kinds of; various kinds
511,511,冷,冷,lěng,Leng3,cold; surname Leng
512,512,喝,喝,hē,he1,to drink; variant of 嗬
513,513,喝,喝,hē,he1,to drink; variant of 嗬
514,514,误,误,wù,wu4,mistake; error; to miss; to harm; to delay; to neglect; mistakenly
515,515,我,我,wǒ,wo3,I; me; my
516,516,说,说,shuō,shuo1,"to speak; to say; to explain; to scold; to tell off; a theory (typically 
the last character in a compound, as in 日心说 heliocentric theory); variant 
of 说"
517,517,喜欢,喜欢,xǐhuan,xi3 huan5,to like; to be fond of
518,518,吃,吃,chī,chi1,"to eat; to consume; to eat at (a cafeteria etc); to eradicate; to destroy; 
to absorb; to suffer; to stammer (Taiwan pr. for this sense is [ji2]); 
variant of 吃"
519,519,鸭舌,鸭舌,yāshé,ya1 she2,
520,520,康,康,kāng,Kang1,healthy; peaceful; abundant; surname Kang
521,521,洁,洁,jié,jie2,clean
522,522,阿姨,阿姨,āyí,a1 yi2,"maternal aunt; step-mother; childcare worker; nursemaid; woman of similar 
age to one's parents (term of address used by child); Classifiers: 个"
523,523,会,会,huì,hui4,"can; to be possible; to be able to; will; to be likely to; to be sure to; 
to assemble; to meet; to gather; to see; union; group; association; 
Classifiers: 个 [ge4]; a moment (Taiwan pr. for this sense is [hui3])"
524,524,冲着,冲着,chōngzhe,chong1 zhe5,
525,525,我,我,wǒ,wo3,I; me; my
526,526,说,说,shuō,shuo1,"to speak; to say; to explain; to scold; to tell off; a theory (typically 
the last character in a compound, as in 日心说 heliocentric theory); variant 
of 说"
527,527,晚,晚,wǎn,wan3,evening; night; late
528,528,真,真,zhēn,zhen1,really; truly; indeed; real; true; genuine
529,529,恶心,恶心,ěxīn,e3 xin1,"nausea; to feel sick; disgust; nauseating; to embarrass (deliberately); 
variant of 恶心"
530,530,冬天,冬天,dōngtiān,dong1 tian1,winter; Classifiers: 个
531,531,北京,北京,běijīng,Bei3 jing1,"Beijing, capital of People's Republic of China; Peking; PRC government"
532,532,雾霾,雾霾,wùmái,wu4 mai2,haze; smog
533,533,我,我,wǒ,wo3,I; me; my
534,534,说,说,shuō,shuo1,"to speak; to say; to explain; to scold; to tell off; a theory (typically 
the last character in a compound, as in 日心说 heliocentric theory); variant 
of 说"
535,535,有时候,有时候,yǒushíhou,you3 shi2 hou5,sometimes
536,536,空气,空气,kōngqì,kong1 qi4,air; atmosphere
537,537,不太好,不太好,bùtàihǎo,bu4 tai4 hao3,not so good; not too well
538,538,康,康,kāng,Kang1,healthy; peaceful; abundant; surname Kang
539,539,洁,洁,jié,jie2,clean
540,540,阿姨,阿姨,āyí,a1 yi2,"maternal aunt; step-mother; childcare worker; nursemaid; woman of similar 
age to one's parents (term of address used by child); Classifiers: 个"
541,541,会,会,huì,hui4,"can; to be possible; to be able to; will; to be likely to; to be sure to; 
to assemble; to meet; to gather; to see; union; group; association; 
Classifiers: 个 [ge4]; a moment (Taiwan pr. for this sense is [hui3])"
542,542,对,对,duì,dui4,"right; correct; couple; pair; towards; at; for; to face; opposite; to treat 
(sb a certain way); to match together; to adjust; to fit; to suit; to 
answer; to reply; classifier: couple"
543,543,我,我,wǒ,wo3,I; me; my
544,544,说,说,shuō,shuo1,"to speak; to say; to explain; to scold; to tell off; a theory (typically 
the last character in a compound, as in 日心说 heliocentric theory); variant 
of 说"
545,545,那是,那是,nàshi,na4 shi5,(coll.) of course; naturally; indeed
546,546,你们,你们,nǐmen,ni3 men5,you (plural)
547,547,郊区,郊区,jiāoqū,jiao1 qu1,suburban district; outskirts; suburbs; Classifiers: 个
548,548,我们,我们,wǒmen,wo3 men5,we; us; ourselves; our
549,549,这儿,这儿,zhèr,zhe4 r5,here
550,550,没,没,méi,mei2,(negative prefix for verbs); have not; not
551,551,感觉,感觉,gǎnjué,gan3 jue2,to feel; to become aware of; feeling; sense; perception; Classifiers: 个
552,552,等等,等等,děngděng,deng3 deng3,et cetera; and so on ...; wait a minute!; hold on!
553,553,诸,诸,zhū,Zhu1,all; various; surname Zhu
554,554,如,如,rú,ru2,as; as if; such as
555,555,类似,类似,lèisì,lei4 si4,similar; analogous
556,556,的,的,de,de5,"of; ~'s (possessive particle); (used after an attribute); (used to form a 
nominal expression); (used at the end of a declarative sentence for 
emphasis); also pr. [di4] or [di5] in poetry and songs"
557,557,话说,话说,huàshuō,hua4 shuo1,It is said that ... (at the start of a narrative); to discuss; to recount
558,558,了,了,le,le5,"(completed action marker); (modal particle indicating change of state, 
situation now); (modal particle intensifying preceding clause)"
559,559,很多,很多,hěnduō,hen3 duo1,very many; very much; great (quantity)
560,560,很多,很多,hěnduō,hen3 duo1,very many; very much; great (quantity)
561,561,你,你,nǐ,ni3,"you (informal, as opposed to courteous 您 )"
562,562,在,在,zài,zai4,"(located) at; (to be) in; to exist; in the middle of doing sth; (indicating 
an action in progress)"
563,563,时候,时候,shíhou,shi2 hou5,time; length of time; moment; period
564,564,她,她,tā,ta1,she
565,565,不,不,bù,bu4,(negative prefix); not; no; variant of 不 ; (negative prefix); not; no
566,566,这样,这样,zhèyàng,zhe4 yang4,this kind of; so; this way; like this; such
