term	description
扩大住房贷款，助学贷款和大件消费品贷款	expand housing loans, student loans and major commodity loans
擴張戰略Kuòzhāng zhànlüè	expansionist strategy A strategy by which a nation seeks to enlarge its territory or influence.
驱逐，放逐	expel
对某事予以严重关注	express grave concern over sth.
致以衷心的祝贺和最好的愿望	express one's sincere congratulations and best wishes
对外关系体系	external relations system
对外主权	external sovereignty
引渡	extradition
费边主义	Fabianism
派别	Faction
失败国家	failed state
马岛战争	Falklands War
证伪	falsification
法西斯主义	fascism
法西斯主義Fàxīsī zhǔyì	fascism A totalitarian political system that is headed by a popular charismatic leader and in which a single political party and carefully controlled violence form the bases of complete social and political control. Fascism differs from communism in that the economic structure, although controlled by the state, is privately owned.
法绍达危机	Fashoda crisis
聯邦議會Liánbāng yìhuì	Federal Assembly Russia's national legislature, a bicameral parliament, established under the 1993 constitution, comprising a lower chamber (State Duma) and an upper chamber (Federation Council).
聯邦預算赤字Liánbāng yùsuàn chìzì	federal budget deficit In the United States, the difference between federal revenues and federal expenditures in a given year; the national debt is the cumulative sum of budget deficits over many years.
聯邦制Liánbāng zhì	federalism A system of limited government based on the division of authority between the central government and smaller regional governments.
联邦党人文集	Federalist Papers
女权主义	Feminism
女性主义理论	feminist theory
封建主义	Feudalism
财务经济委员会	Finance Affairs Committee
金融机构	financial institution
第一過去崗位Dì yī guòqù gǎngwèi	first past the post An electoral system used in the United Kingdom and the United States in which legislative candidates run in single-member districts and the winner is decided by plurality vote; this system favors broad-based, entrenched political parties and tends toward a two-party configuration. Critics contend that it is undemocratic because it places a huge hurdle in the path of small or new parties and forces voters to decide between voting for a major party candidate near the center of the political spectrum and wasting their votes on a third-party candidate who cannot possibly win.
一等秘书	first secretary
第一次打击战略	first-strike strategy
国家财政危机	Fiscal crisis of the state
渔业资源	fishery resources
固定汇率	fixed exchange rate
浮动汇率	floating exchange rate
浮动投票人	Floating vote
外事委员会	Foreign and Economy Committee
全面推进党的建设的新的伟大工程	forge ahead with the new great project of Party building
正式照会	formal note
福摩萨	Formosa
边界地区	forntier region, border region
普法战争	Franco-Prussian War
博爱	Fraternity
自由市场体系	free market system
自由贸易协定	Free Trade Agreement (FTA)
宗教自由	Freedom of religion
言论，表达和出版自由	Freedom of speech,expression,and the press
法國大革命Fàguó dàgémìng	French Revolution (1789) Brought down the Bourbon monarchy in France in the name of "liberté, egalité, et fraternité" (liberty, equality, and fraternity); introduced the contagion of liberalism in a Europe still ruled by conservative, aristocratic, and royalist institutions; and ushered in the rule of Napoléon Bonaparte. Prelude to the First Republic in France and to the Napoleonic Wars.
友好往来	friendly exchanges
友好访问	friendly visit, goodwill visit
职能代表	Functional representation
功能主義Gōngnéng zhǔyì	functionalism: In political thought, the theory that the gradual transfer of economic and social functions to international cooperative agencies (for example, specialized UN agencies, such as UNESCO) will eventually lead to a transfer of actual authority and integration of political activities on the international level.
基本权利	fundamental rights
未来学	futurology
博弈论	game theory
高卢	Gaul
性別差距Xìngbié chājù	gender gap A term used to refer to differences in voting between men and women in the United States; this disparity is most obvious in political issues and elections that raise the issue of appropriateness of governmental force.
海关总署	General Administration of Customs
关税与贸易总协定	General Agreement on Tariffs and Trade
联合国大会	General Assembly
办公厅	General Office
国务院办公厅	General Office of the State Council
总警监	General Police Commissioner
中共中央总书记	General Secretary, the CPC Central Committee
总罢工	General strike
公认的国际关系原则	generally-accepted principles of international relations
日內瓦公約Rìnèiwǎ gōngyuē	Geneva Convention A body of international law dealing with the treatment of the wounded, prisoners of war, and civilians in a war zone.
种族灭绝, 种族屠杀	Genocide
地缘经济学	Geoeconomics
地理位臵	geographic location
地缘政治	geopolitics
蓋世太保Gàishìtàibǎo	Gestapo In Nazi Germany, the secret state police, Hitler's instrument for spreading mass terror among Jews and political opponents.
公開性Gōngkāi xìng	glasnost Literally "openness"; this term refers to Mikhail Gorbachev's curtailment of censorship and encouragement of political discussion and dissent within the former Soviet Union.
全球议程	global agenda
全球治理	global governance
北方世界	Global North
南方世界	Global South
地球村	global village
全球化Quánqiú huà	globalization: The process by which values, attitudes, preferences, and products associated with the most technologically advanced democracies are being spread around the world via mass media and trade.
光荣革命	Glorious Revolution
金本位	gold standard
健康长寿	good health and a long life
调停	good offices
统治能力	Governability
政府组成过程	Government formation process
国务院机关事务管理局	Government Offices Administration of the State Council
政府Zhèngfǔ	government The persons and institutions that make and enforce rules or laws for the larger community.
政府工作报告	government's work report
省长, 州长	Governor
总督	Governor-General
漸進Jiànjìn	gradualism The belief that major changes in society should take place slowly, through reform, rather than suddenly, through revolution.
退耕还林、还草工程	Grain for Green Project
大理论	grand theory
大萧条	Great Depression
大躍進Dà yuèjìn	Great Leap Forward Mao Zedong's attempt, in the late 1950s and early 1960s, to transform and modernize China's economic structure through mass mobilization of the entire population into self-sufficient communes in which everything was done in groups.
北方战争	Great Northern War
大国外交	Great Power diplomacy
無產階級文化大革命Wúchǎn jiējí wénhuà dàgémìng	Great Proletarian Cultural Revolution A chaotic period beginning in 1966, when the youth of China (the Red Guards), at Mao Zedong's direction, attacked all bureaucratic and military officials on the pretext that a reemergence of capitalist and materialist tendencies was taking place. The offending officials were sent to forced labor camps to be "reeducated."
綠色革命Lǜsè gémìng	Green Revolution A dramatic rise in agricultural output, resulting from modern irrigation systems and synthetic fertilizers, characteristic of modern India, Mexico, Taiwan, and the Philippines.
國民總債務（GND）Guómín zǒng zhàiwù (GND)	gross national debt (GND) The U.S. federal government's accumulated deficits stood at $8.8 trillion in the spring of 2007, or just under 63 percent of gross national product.
国民生产总值	gross national product (GNP)
格劳修斯	Grotius
团体理论	Group theory
游擊戰Yóujízhàn	guerrilla warfare The tactics used by loosely organized military forces grouped into small, mobile squads that carry out acts of terrorism and sabotage, then melt back into the civilian population.
古拉格群島Gǔ lā gé qúndǎo	gulag archipelago Metaphorical name for the network of slave labor camps established in the former Soviet Union by Joseph Stalin and maintained by his secret police to which nonconformists and politically undesirable persons were sent.
炮舰外交	gunboat diplomacy
哈布斯堡王朝	Habsburg dynasty
海牙公約Hǎiyá gōngyuē	Hague Convention A widely accepted set of rules governing conduct in land wars, the use of new weapons, and the rights and duties of both neutral and warring parties.
硬权力	hard power
野兔計劃Yětù jìhuà	Hare plan In parliamentary democracies, an electoral procedure whereby candidates compete for a set number of seats and those who receive a certain quota of votes are elected. Voters vote only once and indicate both a first and a second choice.
鹰派	hawks
政府首脑	Head of government
国家元首	Head of state
团长	head of the delegation, leader of the delegation
医疗改革	health care reform
大陆心脏	heartland
黑格尔	Hegel
霸权统治	hegemonic governance
霸权稳定论	Hegemonic stability theory
霸权国	hegemonic state
霸权国地位	hegemonic status
霸权结构	hegemonic structure
霸权战争	hegemonic war
异质化	Heterogeneous
真主党	Hezbollah
隐形就业	hidden employment
高级政治	high politics
公海	high seas
劫机	hijack
印度文明	Hindu civilization
印度教	Hinduism
阁下	His (Her, Your) Excellency
陛下	His (Her, Your) Majesty
殿下	His (Her, Your) Royal Highness
总统先生阁下和夫人	His excellency Mr. President and Mme... ...
历史制度主义	historical institutionalism
霍布斯	Hobbes
霍亨索伦王朝	Hoenzollern dynasty
高举邓小平理论伟大旗帜，全面贯彻"三个代表"重要思想	Hold High the Banner of Deng Xiaoping Theory and Carry out the Important Thoughts of "Three Represents"
整体主义	Holism
圣地	Holy Land
神圣同盟	Holy League
神圣罗马帝国	Holy Roman Empire
圣战	Holy war
國土安全Guótǔ ānquán	homeland security A term President George W. Bush popularized after the 9/11 terrorist attacks; it refers to a whole range of counterterrorist policies, including tighter border and immigration controls, stepped-up airport security, expanded FBI surveillance powers, and more invasive police investigations.
国家同质性	homogeneity of states
同质文明	homogeneous civilization
同质化	homogenization
港澳办公厅	Hong Kong and Macao Affairs Office
东道国	host country
下议院	House of Commons
上议院	House of Lords
人的本質Rén de běnzhí	human nature The characteristics that human beings have in common and that infl uence how they react to their surroundings and fellow humans.
人道主义干涉	humanitarian intervention
人道主义	humanitarianism
百花Bǎihuā	Hundred Flowers A brief period in China (1956) when Mao Zedong directed that freedom of expression and individualism be allowed; it was quashed when violent criticism of the regime erupted.
国际原子能机构	IAEA, International Atomic Energy Agency
国际法院	ICJ, International Court of Justice
理想主义, 唯心主义	idealism
唯心主義Wéixīn zhǔyì	idealism A political philosophy that considers values, ideals, and moral principles as the key to comprehending, and possibly changing, the behavior of nation-states.
身份证	identification card
认同或特性	identity
意识形态冲突	ideological conflict
意識形態Yìshí xíngtài	ideology Any set of fixed, predictable ideas held by politicians and citizens on how to serve the public good.
弹劾	Impeachment
帝國主義Dìguó zhǔyì	imperialism A policy of territorial expansion (empire building), often by means of military conquest; derived from the word empire.
政策实施	Implementation
照顾现实情况	in consideration of the actual conditions
在...陪同下	in the company of..., accompanied by...
無意戰爭Wúyì zhànzhēng	inadvertent war A war resulting from misperception, misinformation, or miscalculation; an unnecessary war.
领土的不可割让性	inalienability of territory
印加帝国	Inca Empire
監禁Jiānjìn	incarceration The isolation of criminals in an effort to protect society and to prevent lawbreakers from committing more crimes.
独立机构	Independent agency
自变量	independent variable
个人层次	individual level
個人主義Gèrén zhǔyì	individualism According to Alexis de Tocqueville, the direction of one's feelings toward oneself and one's immediate situation; a self-centered detachment from the broader concerns of society as a whole. According to John Stuart Mill, the qualities of human character that separate humans from animals and give them uniqueness and dignity.
中印战争	Indo-Chinese War
印巴战争	Indo-Pakistani War
印度支那	Indochina
工业时代	Industrial Age
工业革命	Industrial Revolution
工业化	industrialization
特困行业和企业	industries and enterprises in dire straits
通货膨胀	inflation
非正式协议	informal agreement
非正式访问	informal visit
新闻司	Information Department
新闻办公室	Information Office
信息革命	information revolution
信息战	information warfare (IW), infowar
舉措Jǔcuò	initiative In U.S. government, a vote by which citizens directly repeal an action of the legislature.
巡视员	Inspector/Monitor
国际战略问题学会	Institute for International Strategic Studies
机构/制度	Institution
機構利益集團Jīgòu lìyì jítuán	institutional interest group A group of government officials and bureaucrats with expertise and vested interests in certain policies and programs that often par allel those of special interests in the private sector; as insiders with powerful allies in the private sector, members of certain institutional interest groups (such as defense, intelligence, energy, and agriculture) are in an advantageous position to lobby U.S. Congress for increased funding in the annual "battle of the budget."
制度和平论	institutional peace theory
革命制度黨（PRI）Gémìng zhìdù dǎng (PRI)	Institutional Revolutionary Party (PRI) The dominant political party in Mexico from 1929 to the present. The PRI had never lost an election until 2000, when Vicente Fox of the National Action Party won the presidency.
制度化	institutionalization
国务院直属事业单位	Institutions Directly under the State Council
知识产权	intellectual property
各国议会联盟	Inter-Parliament Union
洲際彈道導彈（ICBM）Zhōujì dàndào dǎodàn (ICBM)	intercontinental ballistic missile (ICBM) A long-range missile armed with multiple nuclear warheads capable of striking targets anywhere in the world; both the United States and Russia possess large arsenals of these ultimate strategic weapons.
相互依存Xiānghù yīcún, 相互依赖	interdependence In political thought, the theory that no nation can afford to isolate itself completely from the political, economic, and cultural activities of other nations and that as a result, a growing body of international organizations whose interests transcend national concerns has arisen.
興趣聚合Xìngqù jùhé	interest aggregation A term political scientists use to describe how the interests, concerns, and demands of various individuals and groups in society are translated into policies and programs; in constitutional democracies, a major function of political parties.
利益表达与聚合	Interest articulation and aggregation
利益集团	interest group
利益集團Lìyì jítuán	interest group An association of individuals that attempts to influence policy and legislation in a confined area of special interest, often through lobbying, campaign contributions, and bloc voting.
利率	interest rate
利益	Interests
利益集团	interests group
干预	interference
政府间国际组织	intergovernmental organization
中程弹道导弹	intermediate-range ballistic missile
对内主权	internal sovereignty
国际行为体	international actor
国际时事	International Affairs
国际无政府状态	international anarchy
国际共同体	international community
国际惯例	international convention
国际合作与一体化	international cooperation and integration
国际危机	international crisis
国际金融学会	International Finance Society
国际金融体系	international financial system
国际霸权	international hegemony
国际制度/体制	international institution (2)
國際法	international law The body of customs, treaties, and generally accepted rules that regulate the rights and obligations of nations when dealing with one another.
國際貨幣基金組織（IMF）Guójì huòbì jījīn zǔzhī (IMF)	International Monetary Fund (IMF) An international organization established by the United Nations and composed of the governments of many nations that is designed to promote worldwide monetary cooperation, international trade, and economic stability. It also helps equalize balance of payments by allowing member countries to borrow from its fund.
國際非政府組織（INGO）Guójì fēi zhèngfǔ zǔzhī (INGO)	international nongovernmental organizations (INGO) International organization made up of private individuals and groups.
国际秩序	international order
国际组织	international organization
国际政治体系	international political system
国际机制	international regime
国际形势	international situation
国际社会	international society
国际体系	international system
国际恐怖主义	international terrorism
公海；国际水域	international waters
国际主义	internationalism
教廷公使	internuncio
质询	Interpellation
国家间关系	interstate relations
国家间交易成本	interstate transaction cost
州際戰爭Zhōu jì zhànzhēng	interstate war Conflicts between sovereign states.
干预变量	intervening variable
干涉主义	interventionism
起義	intifada An Arabic word meaning &quot;uprising&quot;; the name given to the prolonged Palestinian uprising against Israeli occupation in the West Bank and Gaza in 1987-1993 and again in 2001-2002.
国际政治经济学	IPE, international political economy
铁幕	Iron Curtain
寡頭統治鐵律Guǎtóu tǒngzhì tiě lǜ	iron law of oligarchy The elitist theory that because of the administrative necessities involved in managing any large organization, access to and control of information and communication become concentrated in a few bureaucrats, who then wield true power in the organization.
不可逆转性	irreversibility
伊斯兰原教旨主义	Islamic fundamentalism
伊斯兰激进主义	Islamic radicalism
孤立主义	isolationism
意大利城邦体系	Italian city-state system
走狗国家	jackal state
杰斐逊，托马斯	Jefferson,Thomas
犹太人	Jew
共同行动	joint action
审判员,法官	Judge
法警	Judicial Policeman
司法審查Sīfǎ shěnchá	judicial review The power of a court to declare acts by the government unconstitutional and hence void.
司法机构	Judiciary
軍政府Jūn zhèngfǔ	junta A ruling oligarchy, especially one made up of military officers.
陪审团	Jury
正義戰爭Zhèngyì zhànzhēng	just war A war fought in self-defense or because it is the only way a nation can do what is right.
司法Sīfǎ	justice Fairness; the distribution of rewards and burdens in society in accordance with what is deserved.
可审判性	Justiciability
康德	Kant
克什米尔	Kashmir
門將的平衡Ménjiàng de pínghéng	keeper of the balance In a balance-of-power system, the nation-state that functions as an arbiter in disputes, taking sides to preserve the political equilibrium.
凯洛格-白里安公约	Kellog-Briand Pact
健國綜合徵Jiàn guó zònghé zhēng	kin-country syndrome Phenomenon wherein countries whose peoples and leaders are culturally tied to one another take similar positions.
以色列議會Yǐsèliè yìhuì	Knesset The unicameral Israeli parliament.
古兰经	Koran
朝鲜战争	Korean War
富農Fùnóng	kulaks A class of well-to-do landowners in Russian society that was purged by Joseph Stalin because it resisted his drive to establish huge collective farms under state control.
國民黨Guómíndǎng	Kuomintang The Chinese Nationalist Party, led by Chiang Kai-shek, defeated by Mao Zedong in 1949.
京都議定書Jīngdū yìdìngshū	Kyoto Protocol Countries that ratify this treaty, which went into effect in 2005, agree to cut emissions of carbon dioxide and five other greenhouse gases or to engage in emissions trading if they exceed a certain cap; the United States signed it under President Bill Clinton, but President George W. Bush renounced it shortly after taking office in 2001.
下岗职工	laid-off workers
自由放任的資本主義Zìyóu fàngrèn de zīběn zhǔyì	laissez-faire capitalism An ideology that views the marketplace, unfettered by state interference, as the best regulator of the economic life of a society.
陆军	land force
陆权	land power
拉丁美洲	Latin American
法律委员会	Law Committee
法律資本主義積累Fǎlǜ zīběn zhǔyì jīlěi	law of capitalist accumulation: According to Karl Marx, the invariable rule that stronger capitalists, motivated solely by greed, will gradually eliminate weaker competitors and gain increasing control of the market.
法律的貧困化Fǎlǜ de pínkùn huà	law of pauperization: In Karl Marx's view, the rule that capitalism has a built-in tendency toward recession and unemployment, and thus workers inevitably become surplus labor.
律师	Lawyer
领导	Leadership
选择领导	Leadership selection
联盟，联合	League
国际联盟	League of Nations
生存空间	lebensraum
法医	Legal Medical Expert
公使馆	legation
立法委员会	Legislative committees
立法起草	Legislative drafting
立法否决	Legislative veto
立法机关	Legislatures
合法性Héfǎ xìng	legitimacy The exercise of political power in a community in a way that is voluntarily accepted by the members of that community.
合法權力Héfǎ quánlì	legitimate authority The legal and moral right of a government to rule over a specific population and con trol a specific territory; the term legitimacy usually implies a widely recognized claim of governmental authority and voluntary acceptance on the part of the population(s) directly affected.
欠发达国家	less developed country
委任书	letter of appointment
国书	letter of credence, credentials
介绍书	letter of introduction
召回公文	letter of recall
层次分析法	levels of analysis
联络处	liaison office
自由派Zìyóu pài	liberal A political philosophy that emphasizes individualism, equality, and civil rights above other values (see also conservative).
通才教育Tōngcái jiàoyù	liberal education A type education often associated with private colleges in the United States; stresses the development of critical thinking skills through the study of literature, philosophy, history, and science.
自由主义	liberalism
自由意志論Zìyóu yìzhì lùn	libertarianism A system based on the belief that government is a necessary evil that should interfere with individual freedom and privacy as little as possible; also known as minimalism.
有限核战争	limited nuclear war
有限戰爭Yǒuxiàn zhànzhēng	limited war The opposite of all-out war, particularly all-out nuclear warfare.
领海范围	limits of territorial sea
增长极限论	limits-to-growth proposition
名單制Míngdān zhì	list system Method of proportional representation by which candidates are ranked on the ballot by their party and are chosen according to rank.
无息和低息贷款	loans with no or low interest
游说	lobbying
說客Shuō kè	lobbyist A person who attempts to influence governmental policy in favor of some special interest.
地方政府	Local government
地方政府财政	Local government finance
地方政治	Local politics
地方保护主义	local protectionism
本土化	localization
人民院Rénmín yuàn	Lok Sabha The lower house of India's Federal Parliament; the directly elected House of the People; in India, as in the United Kingdom and other parliamentary systems, governments are formed by the majority party (or a coalition of parties) in the lower house following national elections (see also Rajya Sabha).
长周期理论	long-circle theory
低地国家	Low Countries
低级政治	low politics
经济房	low-cost housing
低信息理性Dī xìnxī lǐxìng	low-information rationality The idea that voters can make sensible choices (for example, casting their ballot wisely) even though they lack knowledge and sophistication about public policy, candidates, and current events.
低強度衝突,低烈度冲突	low-intensity conflict Occurs when one state finances, sponsors, or promotes the sporadic and prolonged use of violence in a rival country.
忠誠的反對派Zhōngchéng de fǎnduì pài	Loyal Opposition The belief, which originated in England, that the out-of-power party has a responsibility to formulate alternative policies and programs; such a party is sometimes called the loyal opposition.
效忠转移	loyalty-transferring
午宴	luncheon
路德，马丁	Luther,Martin
马其顿	Macedonia
马基雅维里主	Machiavelli
政党核心集团	party machine
麦迪逊，詹姆斯	Madison,James
司法行政官	Magistrate
大憲章Dà xiànzhāng	Magna Carta A list of political concessions granted in 1215 by King John to his barons that became the basis for the rule of law in England.
多数派政府	Majority government
多數人統治Duōshù rén tǒngzhì	majority rule The principle that any candidate or program that receives at least half of all votes plus one prevails.
弊政	Maladministration
满洲	Manchuria
授权学说	Mandate theory
边际成本	marginal cost
边缘化	marginalization
海洋资源	maritime resources
市场失灵	market failure
馬歇爾計劃Mǎxiē'ěr jìhuà	Marshall Plan A post-World War II program of massive economic assistance to Western Europe, inspired by the fear that those war devastated countries were ripe for communist backed revolutions.
馬克思主義Mǎkèsī zhǔyì	Marxism The political philosophy of Karl Marx (1818-1883), who theorized that the future belonged to the industrial underclass (&quot;proletariat&quot;) and that a &quot;classless society&quot; would eventually replace one based on social distinctions (classes) tied to property ownership. During the Cold War (1947-1991), the term was often mistakenly applied to everyone who embraced the ideology or sympathized with the policies of the Soviet Union or the People&#039;s Republic of China against the West.
馬克思列寧主義,马列主	Marxism-Leninism In the history of the Russian Revolution, Lenin's anticapitalist rationale for the overthrow of the czar (absolute monarch) and the establishment of a new political order based on communist principles set forth in the writings of Karl Marx.
大眾媒體Dàzhòng méitǐ	mass media The vehicles of mass communication, such as television, radio, fIlm, books, magazines, and newspapers.
群众性政党	Mass membership party
大規模報復Dà guīmó bàofù	massive retaliation Strategic military doctrine based on a plausible standing threat of nuclear reprisal employed by the United States in the 1950s during the short-lived era of the U.S. nuclear monopoly; according to this doctrine, if the Soviet Union attacked U.S. allies with conventional military forces, the United States would retaliate with nuclear weapons.
唯物主义	materialism
XX县县长	Mayor of XXX County
市长/副市长	Mayor/Vice Mayor
调解,斡旋	mediation (2)
明治維新Míngzhì wéixīn	Meiji Restoration The end of Japan's feudal era, in 1868, when a small group of powerful individuals crowned a symbolic emperor, embarked on an economic modernization program, and established a modern governmental bureaucracy.
委员	Member
代表团成员	member of the delegation
中国政协委员	member of the National Committee of CPPCC
中央委员	Member, Central Committee
政治局委员	Member, Political Bureau of the CPC Central Committee
书记处书记	Member, secretariat of the CPC Central Committee
政治局常委	Member, Standing Committee of Political Bureau, the CPC Central Committee
行政技术人员	members of the administrative and technical staff
备忘录	memorandum, aidememoire
追悼会	memorial meeting
悼词	memorial speech
唯心主义	mentalism
重商主义	mercantilism
雇佣军	mercenary
国家合并	merger of states
唁电	message of condolence
贺电	message of greeting, message of congratulation
形而上学	metaphysics
方法Fāngfǎ	methodology The way scientists and scholars set about exploring, explaining, proving, or disproving proposi tions in different academic disciplines. The precise methods vary according to the discipline and the object, event, process, or phenomenon under investigation.
中东	Middle East, Mideast
中等国家	middle-range power
三峡移民	Migrants from Three Gorges area
军国主义	militarism
军事援助	military assistance
武官	military attaché
武官处	military attaché's office
军事基地	military base
军事政变	military coup
军事防御	military defense
军费开支	military expenditures
军事一体化	military integration
军事干预	military intervention
军事挑衅	military provocation
军事技术革命	military-technical revolution
穆勒	Mill
（国务院各部）部长	Minister
（国务院各委员会）主任	Minister in Charge of Commission for
部长，部	Minister/Ministry
农业部	Ministry of Agriculture
民政部	Ministry of Civil Affairs
交通部	Ministry of Communications
建设部	Ministry of Construction
文化部	Ministry of Culture
教育部	Ministry of Education
财政部	Ministry of Finance
外交部	Ministry of Foreign Affairs
对外贸易经济合作部	Ministry of Foreign Trade and Economic Co-operation
卫生部	Ministry of Health
信息产业部	Ministry of Information Industry
信息产业部	Ministry of Information Technology and Telecommunications
司法部	Ministry of Justice
劳动和社会保障部	Ministry of Labor and Social Security
国土资源部	Ministry of Land and Natural Resources
国防部	Ministry of National Defense
人事部	Ministry of Personnel
卫生部	Ministry of Public Health
公安部	Ministry of Public Security
铁道部	Ministry of Railways
科学技术部	Ministry of Science and Technology
安全部	Ministry of State Security
监察部	Ministry of Supervision
水利部	Ministry of Water Resources
镜像	mirror image
混合政府	Mixed government
混合政體Hùnhé zhèngtǐ	mixed regime A nation in which the various branches of government represent social classes.
现代远程教育	modern distance education
现代国家体系	modern state system
莫臥爾Mò wò ěr	Moghuls Muslim invaders who created a dynastic empire on the Asian subcontinent; the greatest Moghul rulers were Babur (1526-1530), Akbar (1556-1605), Shah Jahan (1628-1658), and Aurangzeb (1658-1707); Shah Jahan was the architect of the Taj Mahal.
君主制	Monarchy
洗钱	money laundering
門羅主義Mén luó zhǔyì	Monroe Doctrine A status quo international policy laid down by U.S. president James Monroe, who pledged the United States to resist any attempts by outside powers to alter the balance of power in the American hemisphere.
道德相對主義Dàodé xiāngduì zhǔyì	moral relativism The idea that all moral judgments are inherently subjective and therefore not valid for anybody but oneself; the belief that no single opinion on morality is any better than another.
提案审查委员会	Motions Examination Committee
電機選民法Diànjī xuǎn mínfǎ	motor voter law A statute that allows residents of a given locality to register to vote at convenient places, such as welfare offices and drivers' license bureaus; the idea behind laws of this kind is to remove technical obstacles to voting and thus promote better turnouts in elections.
多中心体系	multi-centric system
多边协定	multilateral agreement
多边援助	multilateral aid
多边外交	multilateral diplomacy
多边主义	multilateralism
跨國公司（MNC）Kuàguó gōngsī (MNC)	multinational corporations (MNC) A company that conducts substantial business in several nations.
多民族國家Duō mínzú guójiā	multinational state Sovereign state that contains two or more (sometimes many more) major ethno-linguistic groups (or nations) in the territories it controls; notable examples include India, Nigeria, Russia, China, as well as the former Yugoslavia.
多民族国家	multinational stated
多個獨立目標再入飛行器（MIRV）Duō gè dúlì mùbiāo zài rù fēixíngqì (MIRV)	multiple independently targeted reentry vehicle (MIRV) The name given to intercontinental missiles containing many nuclear warheads that can be individ ually programmed to split off from the nose cone of the rocket upon reentry into the earth's atmosphere and hit different specific targets with a high degree of accuracy.
多极	multipolarity
慕尼黑会议	Munich conference
相互的	mutual
相互確保摧毀（MAD）Xiānghù quèbǎo cuīhuǐ (MAD)	mutual assured destruction (MAD) A nuclear stale mate in which both sides in an adversarial relationship know that if either one initiates a war, the other will retain enough retaliatory ("second strike") capability to administer unacceptable damage even after absorbing the full impact of a nuclear surprise attack; during the Cold War, a stable strategic relationship between the two superpowers.
相互威懾Xiānghù wēishè	mutual deterrence The theory that aggressive wars can be prevented if potential victims maintain a military force sufficient to inflict unacceptable punishment on any possible aggressor.
互不侵犯	mutual non-aggression
互相承认	mutual recognition
互相尊重主权和领土完整	mutual respect for sovereignty and territorial integrity
互谅互让	mutual understanding and mutual accommodation
旨在做某事i	n a bid to do sth.
北美自由贸易协定	NAFTA, the North American Free Trade Agreement
中国天主教教务委员会	Nat'l Administrative Commission of the Chinese Catholic Church
全国少年儿童工作协调委员会	Nat'l Children's Work Coordination Committee
中国联合国教科文组织全国委员会	Nat'l Commission of The People's Republic of China for UNESCO
全国少年儿童文化艺术委员会	Nat'l Council on Cultural and Art Work for Children
國家建設Guójiā jiànshè	nation building The process by which inhabitants of a given territory—irrespective of ethnic, religious, or lin guistic differences—come to identify with symbols and institutions of their nation-state.
民族國家Mínzú guójiā	nation-state A geographically defined community administered by a government.
國家行動黨（PAN）Guójiā xíngdòng dǎng (PAN)	National Action Party (PAN) The main opposition party in Mexico; the PAN's candidate, Vicente Fox, was elected president in 2000.
國民大會Guómín dàhuì	National Assembly Focal point of France's bicameral legislative branch that must approve all laws.
国家特性	national attribute
国界	national boundary
中国人民政治协商会议全国委员会 (简称全国政协)	National Committee of the Chinese People's Political Consultative Conference (CPPCC)
国家目标	national goal
民族国家认同	national identity
國家利益Guójiā lìyì	national interest The aims of policies that help a nation maintain or increase its power and prestige.
民族解放	national liberation
国家军事安全	national military security
全国人民代表大会 (简称 全国人大)	National People's Congress (NPC)
国家权力	national power
国家行政学院	National School of Administration
国家安全	national security
广义国家安全	national security in its broad sense
狭义国家安全	national security in its narrow sense
国家安全政策	national security policy
國家安全Guójiā ānquán	national security Protection of a country from external and internal enemies.
民族自決Mínzú zìjué	national self-determination The right of a nation to choose its own government.
国家战略	national strategy
国家旅游局	National Tourism Administration
民族主義Mínzú zhǔyì	nationalism Devotion to one's nation; a label sometimes applied to excessive patriotism.
民族主義的普遍Mínzú zhǔyì de pǔbiàn	nationalistic universalism: A messianic foreign policy that seeks to spread the ideas and institutions of one nation to other nations.
国有化	nationalization
北大西洋公约组织	NATO, North Atlantic Treaty Organization
物竞天择	natural selection
自然法	nature law
海军武官	naval attaché
海上封锁	naval blockade
海军实力	naval capability
海军	naval force
纳粹德国	Nazi Germany
納粹主義Nàcuì zhǔyì	Nazism Officially called National Socialism, Nazism is a form of fascism based on extreme nationalism, militarism, and racism; the ideology associated with Adolf Hitler and the Holocaust.
近东	Near East
消极主权	negative sovereignty
新功能主义	neo-functionalism
新干涉主义	neo-interventionism
新自由制度主义	neo-liberal institutionalism
新自由主义	neo-liberalism
新现实主义	neo-realism
新古典现实主义	neoclassical realism
新保守主義Xīn bǎoshǒu zhǔyì	neoconservative In the United States, a term associated with the ideology of top advisors and Cabinet members during the presidency of George W. Bush; neoconservatives advocate a strong national defense, decisive military action in the face of threats or provocations, pro-Israeli policy in the Middle East, and a minimum of government interference in the economy. In general, neoconservatives are opposed to federal regulation of business and banking.
新现实主义和新自由主义的论战	neorealist-neoliberal debate
尼德兰	Netherlands
中立国	neutrality stated, neutral country
中立Zhōnglì	neutrality The policy of giving the very highest priority to staying out of war by adopting a nonthreatening posture toward neighboring states, maintaining a strictly defensive military capability, and refusing to take sides in conflicts; Finland, Sweden, and Switzerland are among the countries that have pursued a policy of neutrality most successfully.
永久中立国	neutralized state
不附带任何条件	never to attach any conditions
新政	New Deal
新左派	New Left
新右派	New Right
新安全观	new views of security; new security idea
新兴工业化国家	newly industrializing country
新闻发布会	news conference
虛無主義Xūwú zhǔyì	nihilism A philosophy that holds that the total destruction of all existing social and political institutions is a desirable end in itself.
投不信任票Tóu bù xìnrèn piào	no-confidence vote In parliamentary governments, a legislative vote that the sitting government must win to remain in power.
